epoch,train_loss,val_loss
1,1.7626556,1.2153523
2,1.7452914,1.2048671
3,1.7293535,1.1948729
4,1.7151047,1.1852977
5,1.7007445,1.1760691
6,1.6864618,1.1672151
7,1.6717483,1.1587241
8,1.6555653,1.1506248
9,1.6384627,1.1429051
10,1.6212287,1.135531
11,1.6053625,1.1284864
12,1.5920452,1.1218352
13,1.5815119,1.1157117
14,1.5725256,1.1102456
15,1.5628272,1.105692
16,1.5548668,1.1023636
17,1.5475212,1.1004401
18,1.5404354,1.0997903
19,1.5335759,1.1000648
20,1.5277721,1.1007578
21,1.5234753,1.1013429
22,1.520628,1.1015277
23,1.5184212,1.1009648
24,1.5160195,1.0998328
25,1.5140332,1.0976639
26,1.5110964,1.093707
27,1.5078049,1.0870657
28,1.5041682,1.0797246
29,1.5016366,1.0740712
30,1.4995772,1.0686393
31,1.4986013,1.0640835
32,1.4986979,1.0589056
33,1.4991914,1.0553237
34,1.4983935,1.0511466
35,1.4974974,1.0500908
36,1.498088,1.0501447
37,1.4982553,1.0489565
38,1.4986652,1.048809
39,1.4982219,1.0481002
40,1.4984027,1.0460206
41,1.4973798,1.042228
42,1.4980992,1.0384402
43,1.4981313,1.036158
44,1.4981151,1.034216
45,1.497501,1.0326433
46,1.4977741,1.0317612
47,1.4975234,1.0311098
48,1.4972811,1.0307075
49,1.4967561,1.0297797
50,1.4970284,1.0291839
51,1.4966999,1.029413
52,1.4971691,1.0297155
53,1.496903,1.0289748
54,1.4975815,1.0282075
55,1.4962219,1.0280753
56,1.4970274,1.0281332
57,1.4967494,1.0288577
58,1.4970292,1.0303221
59,1.4978951,1.031707
60,1.497922,1.0328355
61,1.4981872,1.0342321
62,1.4987249,1.0345851
63,1.4993192,1.0352306
64,1.4987246,1.0362942
65,1.4989504,1.037064
66,1.4990817,1.0372252
67,1.4991118,1.037018
68,1.4988121,1.0375228
69,1.4990748,1.0374765
70,1.4992937,1.0379205
71,1.4989728,1.0380199
72,1.4991698,1.0371776
73,1.4985284,1.0368891
74,1.4988089,1.037253
75,1.4988362,1.0382135
76,1.4988667,1.0378852
77,1.4990511,1.0370682
78,1.4987636,1.0364269
79,1.4994227,1.0361235
80,1.4986944,1.036642
81,1.4991031,1.036425
82,1.4989543,1.036252
83,1.4990612,1.0354801
84,1.4986353,1.035334
85,1.498549,1.0359261
86,1.4984856,1.0354371
87,1.4987677,1.034696
88,1.4982549,1.0340147
89,1.498253,1.034473
90,1.4984103,1.0350932
91,1.4985781,1.0364115
92,1.4991785,1.0365227
93,1.4992795,1.0367539
94,1.4990555,1.0366738
95,1.4989885,1.035943
96,1.4988871,1.035327
97,1.4987645,1.0356021
98,1.4984545,1.0362408
99,1.498835,1.035896
100,1.4983636,1.0355283
101,1.4990953,1.0341706
102,1.4984059,1.0338854
103,1.4983782,1.0346024
104,1.4983143,1.0346637
105,1.498365,1.0341046
106,1.4984437,1.0332263
107,1.4984387,1.0330044
108,1.4980139,1.0340428
109,1.498343,1.034236
110,1.4985012,1.0333365
111,1.4982071,1.0332719
112,1.4982256,1.033119
113,1.4982466,1.0337007
114,1.4991035,1.0333986
115,1.4982429,1.0330039
116,1.4980208,1.0314171
117,1.4979277,1.0320499
118,1.4985809,1.0325292
119,1.4979712,1.0326433
120,1.4980594,1.0322198
121,1.4979659,1.0319222
122,1.4982367,1.0317212
123,1.4988861,1.0322869
124,1.4983438,1.0336095
125,1.4984328,1.0342947
126,1.4983732,1.0338368
127,1.4984384,1.0334483
128,1.4983169,1.0336602
129,1.498662,1.0331926
130,1.4980516,1.0346788
131,1.4984809,1.0351993
132,1.4984841,1.0362709
133,1.4983567,1.0372293
134,1.4987503,1.0386502
135,1.4988228,1.0392075
136,1.498703,1.0388694
137,1.4988452,1.038236
138,1.4987243,1.0377799
139,1.4986793,1.0380304
140,1.4988037,1.0388058
141,1.4989108,1.0388274
142,1.4985037,1.038421
143,1.498857,1.0382125
144,1.4992241,1.0377854
145,1.4985844,1.037358
146,1.4988465,1.0366385
147,1.4985803,1.0365801
148,1.4991865,1.0375534
149,1.499056,1.0382034
150,1.4990138,1.0384368
151,1.4986314,1.0381896
152,1.4987715,1.0378839
153,1.4990664,1.0374002
154,1.4990673,1.0368899
155,1.499293,1.037087
156,1.4989034,1.0370843
157,1.4987135,1.0373116
158,1.4990263,1.0372849
159,1.4988142,1.0385139
160,1.498824,1.0382798
161,1.4989347,1.0389305
162,1.4989723,1.0394819
163,1.4987887,1.0393163
164,1.4986755,1.0396019
165,1.4987631,1.0394152
166,1.498414,1.0400832
167,1.4989971,1.0406945
168,1.49898,1.0405141
169,1.4988866,1.0398393
170,1.498958,1.0381347
171,1.4985508,1.0379086
172,1.4984578,1.0386202
173,1.4985129,1.0386269
174,1.4992563,1.0386436
175,1.4982675,1.0389245
176,1.4988359,1.0402081
177,1.4986235,1.0407417
178,1.4983793,1.0407919
179,1.4991242,1.0402224
180,1.4989452,1.0399562
181,1.49851,1.0394132
182,1.4986082,1.0388402
183,1.4990247,1.0388939
184,1.499143,1.0391164
185,1.4988104,1.0403701
186,1.4984145,1.0407643
187,1.4990662,1.0408112
188,1.4983441,1.0411308
189,1.498859,1.0408514
190,1.4983867,1.0406429
191,1.4982301,1.0392913
192,1.4984927,1.0394013
193,1.4980949,1.039664
194,1.49867,1.0392196
195,1.4986283,1.0374799
196,1.4988686,1.0366843
197,1.4978598,1.0347862
198,1.498382,1.0359576
199,1.4978733,1.0361023
200,1.4980932,1.0363505
201,1.4983287,1.0374088
202,1.498375,1.0367261
203,1.4982444,1.0367175
204,1.4980973,1.0368464
205,1.498041,1.0365019
206,1.4980797,1.035679
207,1.4977285,1.0357568
208,1.4980952,1.0369227
209,1.4980329,1.0371635
210,1.4979463,1.0380651
211,1.498284,1.0375834
212,1.4979907,1.0374105
213,1.4978675,1.0383902
214,1.4979974,1.0389273
215,1.4986233,1.041017
216,1.497949,1.0425034
217,1.4983369,1.0436624
218,1.4989282,1.0454478
219,1.4981595,1.0468012
220,1.4981705,1.0478609
221,1.4983777,1.0488344
222,1.4985243,1.0488906
223,1.498284,1.0486655
224,1.4981437,1.0482583
225,1.4983306,1.0489305
226,1.4985543,1.0489951
227,1.4984046,1.0493839
228,1.498208,1.0501226
229,1.4984436,1.0507355
230,1.4984673,1.0515852
231,1.4978536,1.0512974
232,1.4977902,1.0501444
233,1.4980612,1.0484989
234,1.4975046,1.0479155
235,1.4978424,1.0485017
236,1.4975337,1.047817
237,1.4978663,1.0488794
238,1.4976664,1.0493609
239,1.497666,1.0495772
240,1.4976963,1.0509297
241,1.4976807,1.0518297
242,1.4980364,1.0516307
243,1.4975938,1.0515971
244,1.4977375,1.0503001
245,1.4979087,1.0516362
246,1.4973012,1.0539356
247,1.4971104,1.0562923
248,1.4975168,1.0569568
249,1.497497,1.055251
250,1.4973464,1.0550661
251,1.4974356,1.0554748
252,1.4975595,1.0555207
253,1.4976786,1.0543354
254,1.4975071,1.0530494
255,1.4971989,1.0517906
256,1.4972774,1.0518464
257,1.4971503,1.0513024
258,1.4973608,1.0523567
259,1.497334,1.0537791
260,1.4971186,1.0549994
261,1.4974247,1.0559754
262,1.4971539,1.0564126
263,1.4975296,1.0572665
264,1.4977041,1.0571041
265,1.4974499,1.0569738
266,1.497518,1.0563692
267,1.497024,1.0562462
268,1.497735,1.0550188
269,1.4969398,1.0551423
270,1.4972004,1.0554049
271,1.4975134,1.0564884
272,1.4970816,1.0579284
273,1.4975586,1.0564694
274,1.4973246,1.053415
275,1.4969167,1.0502427
276,1.496631,1.046911
277,1.4971756,1.048824
278,1.4969944,1.0495384
279,1.4970227,1.052707
280,1.4969765,1.0578377
281,1.4974335,1.0600659
282,1.4969,1.0618578
283,1.4972507,1.0637561
284,1.4967853,1.0659108
285,1.4968653,1.0662767
286,1.4963174,1.0657
287,1.4967581,1.065943
288,1.4969078,1.065398
289,1.4967275,1.0647615
290,1.4964181,1.0657263
291,1.4967918,1.0680685
292,1.4963578,1.0704839
293,1.4965171,1.072919
294,1.4963012,1.0746047
295,1.4968047,1.0754241
296,1.496478,1.0766556
297,1.4962344,1.0772734
298,1.4961809,1.076139
299,1.4961826,1.0744851
300,1.4960991,1.0740887
301,1.4961219,1.0736009
302,1.4959497,1.0704031
303,1.4960189,1.0704255
304,1.4963454,1.0709949
305,1.4965528,1.0706184
306,1.4962014,1.0695962
307,1.4959679,1.0701256
308,1.4962438,1.0715411
309,1.4961761,1.0746654
310,1.4959731,1.0760027
311,1.4958519,1.0745027
312,1.4957328,1.0756121
313,1.4956514,1.0782933
314,1.495834,1.0791461
315,1.4959015,1.0795349
316,1.4961594,1.0796499
317,1.4956745,1.0801814
318,1.495851,1.08083
319,1.4956867,1.0826359
320,1.4955693,1.0838928
321,1.4959002,1.0841107
322,1.4956323,1.0821536
323,1.495543,1.0822124
324,1.495346,1.0845921
325,1.4952717,1.0877537
326,1.4954747,1.0904601
327,1.495257,1.0930796
328,1.4953828,1.0952936
329,1.4951643,1.0972655
330,1.4952021,1.0948231
331,1.4950966,1.0961335
332,1.4948066,1.0981328
333,1.4948322,1.0994513
334,1.4949574,1.0989712
335,1.4947778,1.1002996
336,1.4947599,1.0980482
337,1.4945999,1.0970023
338,1.4944848,1.10063
339,1.4944534,1.1031039
340,1.4947928,1.106357
341,1.4947783,1.1091392
342,1.494783,1.1111557
343,1.4949523,1.1110425
344,1.4946903,1.1110835
345,1.4948627,1.1099203
346,1.4944712,1.1067109
347,1.49449,1.1065975
348,1.4944443,1.106475
349,1.4944863,1.1096125
350,1.4943504,1.1170127
351,1.4941267,1.1228323
352,1.4935638,1.1296449
353,1.4935322,1.1364951
354,1.4936668,1.1442457
355,1.4936547,1.1494863
356,1.4933707,1.156858
357,1.4931391,1.1656417
358,1.4927288,1.1724687
359,1.4925169,1.1784987
360,1.4923486,1.185853
361,1.4922777,1.1963608
362,1.4924064,1.209531
363,1.4922647,1.2246519
364,1.4921861,1.2354667
365,1.4917325,1.2476221
366,1.4915136,1.2617021
367,1.4914598,1.276853
368,1.4911661,1.2894776
369,1.4910706,1.3001964
370,1.4908289,1.3092816
371,1.4906706,1.3142109
372,1.4906721,1.3227472
373,1.4906281,1.3298303
374,1.4909477,1.3414769
375,1.4903971,1.3553311
376,1.4900388,1.3655216
377,1.4899162,1.37627
378,1.4897208,1.3852336
379,1.4895935,1.3989105
380,1.4899501,1.4072933
381,1.4894747,1.4175305
382,1.489347,1.4282495
383,1.4894247,1.4401209
384,1.4892368,1.4520326
385,1.4891833,1.4663304
386,1.489108,1.4736326
387,1.4889868,1.4786808
388,1.4886705,1.477801
389,1.4886118,1.486441
390,1.488968,1.4920058
391,1.4882035,1.4923317
392,1.4882432,1.492535
393,1.4882525,1.5048523
394,1.4880713,1.5091915
395,1.488316,1.514559
396,1.4879078,1.52135
397,1.4882675,1.5308578
398,1.4877535,1.5361344
399,1.4878931,1.5417782
400,1.4877691,1.5548582
