event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2014mnzy,2014-06-28T10:18:45.190000Z,-9.16,125.416,61.1,4.67,mb,,Timor Region,43,2014-06-28T10:19:25.680000Z,SOEI,GE,BHZ,s,,,2014-06-28T10:19:08.660000Z,SOEI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,17.02
gfz2014kwfg,2014-06-04T10:59:42.940000Z,-8.342,109.285,86.8,5.0,mb,,"Java, Indonesia",98,2014-06-04T11:00:21.070000Z,UGM,GE,BHZ,s,,,2014-06-04T11:00:04.160000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,16.91
gfz2014kfod,2014-05-26T08:11:04.050000Z,1.048,120.12,31.6,4.67,mb,,"Minahassa Peninsula, Sulawesi",39,2014-05-26T08:11:28.470000Z,TOLI2,GE,BHZ,s,,,2014-05-26T08:11:17.160000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,11.31
gfz2014kait,2014-05-23T11:46:43.990000Z,1.566,121.326,48.9,4.39,mb,,"Minahassa Peninsula, Sulawesi",32,2014-05-23T11:47:08.260000Z,TOLI2,GE,BHZ,s,,,2014-05-23T11:46:55.960000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,12.3
gfz2014jcyq,2014-05-10T16:32:16.710000Z,3.723,126.077,186.8,4.28,mb,,"Talaud Islands, Indonesia",15,2014-05-10T16:33:50.460000Z,TNTI,GE,BHE,s,,,2014-05-10T16:33:08.110000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,42.35
gfz2014iwpt,2014-05-07T05:14:05.040000Z,0.951,123.259,58.1,4.53,mb,,"Minahassa Peninsula, Sulawesi",26,2014-05-07T05:15:15.220000Z,TOLI2,GE,BHZ,s,,,2014-05-07T05:14:43.610000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,31.61
gfz2014hjch,2014-04-15T14:08:03.270000Z,1.767,127.487,50.7,4.47,mb,,"Halmahera, Indonesia",40,2014-04-15T14:08:35.720000Z,TNTI,GE,BHZ,s,,,2014-04-15T14:08:21.260000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,14.46
gfz2014gzsh,2014-04-10T10:51:25.880000Z,4.42,123.412,533.1,4.39,mb,,Celebes Sea,47,2014-04-10T10:54:13.360000Z,LUWI,GE,BHZ,s,,,2014-04-10T10:52:57.560000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,75.8
gfz2014ghxq,2014-03-31T17:06:12.810000Z,-9.465,115.142,50.5,4.46,mb,,"South of Bali, Indonesia",20,2014-03-31T17:06:53.390000Z,JAGI,GE,BHE,s,,,2014-03-31T17:06:36.710000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,16.68
gfz2014ghxq,2014-03-31T17:06:12.810000Z,-9.465,115.142,50.5,4.46,mb,,"South of Bali, Indonesia",20,2014-03-31T17:07:24.410000Z,PLAI,GE,BHE,s,,,2014-03-31T17:06:54.650000Z,PLAI,GE,BHZ,p,,,29.76
