event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2013ytjw,2013-12-19T03:26:42.320000Z,-8.247,117.852,35.4,4.39,mb,,"Sumbawa Region, Indonesia",18,2013-12-19T03:27:04.900000Z,PLAI,GE,BHE,s,,,2013-12-19T03:26:54.610000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,10.29
gfz2013yova,2013-12-16T15:23:29.680000Z,-8.716,118.423,118.8,4.31,mb,,"Sumbawa Region, Indonesia",36,2013-12-16T15:24:03.640000Z,PLAI,GE,BHZ,s,,,2013-12-16T15:23:49.370000Z,PLAI,GE,BHZ,p,,,14.27
gfz2013yova,2013-12-16T15:23:29.680000Z,-8.716,118.423,118.8,4.31,mb,,"Sumbawa Region, Indonesia",36,2013-12-16T15:25:19.580000Z,JAGI,GE,BHZ,s,,,2013-12-16T15:24:30.600000Z,JAGI,GE,BHZ,p,,,48.98
gfz2013ykdd,2013-12-14T01:47:53.610000Z,5.829,126.241,75.3,4.74,mb,,"Mindanao, Philippines",26,2013-12-14T01:50:54.230000Z,TOLI2,GE,BHN,s,,,2013-12-14T01:49:35.460000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,78.77
gfz2013ykdd,2013-12-14T01:47:53.610000Z,5.829,126.241,75.3,4.74,mb,,"Mindanao, Philippines",26,2013-12-14T01:51:09.370000Z,SANI,GE,BHN,s,,,2013-12-14T01:49:44.060000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,85.31
gfz2013ygzo,2013-12-12T08:34:59.620000Z,-8.097,108.189,63.5,5.06,mb,,"Java, Indonesia",32,2013-12-12T08:36:03.190000Z,UGM,GE,BHE,s,,,2013-12-12T08:35:36.360000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,26.83
gfz2013ygzo,2013-12-12T08:34:59.620000Z,-8.097,108.189,63.5,5.06,mb,,"Java, Indonesia",32,2013-12-12T08:36:07.040000Z,SMRI,GE,BHE,s,,,2013-12-12T08:35:37.460000Z,SMRI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,29.58
gfz2013yfsc,2013-12-11T15:41:01.140000Z,4.483,127.278,67.5,4.61,mb,,"Talaud Islands, Indonesia",26,2013-12-11T15:43:50.150000Z,SANI,GE,BHE,s,,,2013-12-11T15:42:34.760000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,75.39
gfz2013yfql,2013-12-11T14:50:21.500000Z,-10.319,124.461,24.6,4.75,mb,,Timor Region,35,2013-12-11T14:50:40.110000Z,SOEI,GE,BHE,s,,,2013-12-11T14:50:32.760000Z,SOEI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,7.35
gfz2013yfql,2013-12-11T14:50:21.500000Z,-10.319,124.461,24.6,4.75,mb,,Timor Region,35,2013-12-11T14:51:37.410000Z,MMRI,GE,BHE,s,,,2013-12-11T14:51:04.610000Z,MMRI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,32.8
gfz2013yeit,2013-12-10T21:49:58.920000Z,0.575,125.346,55.4,4.34,mb,,Northern Molucca Sea,27,2013-12-10T21:51:56.220000Z,TOLI2,GE,BHE,s,,,2013-12-10T21:51:05.790000Z,TOLI2,GE,BHZ,p,,,50.43
gfz2013ydaj,2013-12-10T04:27:19.880000Z,-5.565,102.228,42.2,5.33,mb,,"Southern Sumatra, Indonesia",324,2013-12-10T04:28:02.280000Z,MNAI,GE,BHE,s,,,2013-12-10T04:27:44.120000Z,MNAI,GE,BHZ,p,,,18.16
gfz2013ydaj,2013-12-10T04:27:19.880000Z,-5.565,102.228,42.2,5.33,mb,,"Southern Sumatra, Indonesia",324,2013-12-10T04:30:52.690000Z,UGM,GE,BHE,s,,,2013-12-10T04:29:21.230000Z,UGM,GE,BHZ,p,,,91.46
gfz2013ycvv,2013-12-10T02:09:27.810000Z,3.73,96.041,26.9,4.31,mb,,"Northern Sumatra, Indonesia",23,2013-12-10T02:10:45.290000Z,GSI,GE,BHN,s,,,2013-12-10T02:10:09.670000Z,GSI,GE,BHZ,p,,,35.62
gfz2013xpcc,2013-12-02T13:25:20.930000Z,-8.401,121.376,190.3,4.69,mb,,"Flores Region, Indonesia",106,2013-12-02T13:26:09.400000Z,MMRI,GE,BHZ,s,,,2013-12-02T13:25:48.650000Z,MMRI,GE,BHZ,p,,,20.75
gfz2013xmza,2013-12-01T09:36:23.070000Z,-4.378,102.331,62.9,4.7,mb,,"Southern Sumatra, Indonesia",67,2013-12-01T09:36:45.970000Z,MNAI,GE,BHZ,s,,,2013-12-01T09:36:35.910000Z,MNAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,10.06
gfz2013xbyw,2013-11-25T09:01:28.090000Z,-7.543,128.068,242.0,4.43,mb,,Banda Sea,21,2013-11-25T09:03:29.730000Z,SOEI,GE,BHN,s,,,2013-11-25T09:02:37.950000Z,SOEI,GE,BHZ,p,,,51.78
gfz2013wlbf,2013-11-16T02:53:53.610000Z,-2.266,134.272,72.9,4.2,mb,,"Irian Jaya Region, Indonesia",17,2013-11-16T02:54:52.550000Z,FAKI,GE,BHE,s,,,2013-11-16T02:54:26.960000Z,FAKI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,25.59
gfz2013vwga,2013-11-08T00:16:45.370000Z,-9.006,117.842,12.1,4.67,mb,,"Sumbawa Region, Indonesia",38,2013-11-08T00:16:53.860000Z,PLAI,GE,BHZ,s,,,2013-11-08T00:16:50.060000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,3.8
gfz2013vbev,2013-10-27T11:49:41.960000Z,-1.491,126.392,33.6,4.53,mb,,Southern Molucca Sea,32,2013-10-27T11:50:05.050000Z,SANI,GE,BHZ,s,,,2013-10-27T11:49:54.610000Z,SANI,GE,BHZ,p,,,10.44
gfz2013uvlo,2013-10-24T08:25:17.620000Z,-7.176,106.384,99.1,4.61,mb,,"Java, Indonesia",80,2013-10-24T08:27:11.040000Z,MNAI,GE,BHN,s,,,2013-10-24T08:26:24.690000Z,MNAI,GE,BHZ,p,,,46.35
gfz2013urzt,2013-10-22T11:02:36.650000Z,2.686,121.998,537.9,4.17,mb,,Celebes Sea,55,2013-10-22T11:04:40.130000Z,TOLI2,GE,BHN,s,,,2013-10-22T11:03:45.560000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,54.57
gfz2013urzt,2013-10-22T11:02:36.650000Z,2.686,121.998,537.9,4.17,mb,,Celebes Sea,55,2013-10-22T11:04:59.350000Z,LUWI,GE,BHN,s,,,2013-10-22T11:03:56.520000Z,LUWI,GE,BHZ,p,,,62.83
gfz2013urpd,2013-10-22T05:40:39.270000Z,5.068,95.763,10.0,5.39,Mw,,"Northern Sumatra, Indonesia",254,2013-10-22T05:41:16.810000Z,LHMI,GE,BHE,s,,,2013-10-22T05:41:00.160000Z,LHMI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,16.65
gfz2013uqzd,2013-10-21T21:35:06.240000Z,1.848,127.187,57.8,4.4,mb,,"Halmahera, Indonesia",30,2013-10-21T21:35:41.170000Z,TNTI,GE,BHE,s,,,2013-10-21T21:35:25.460000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,15.71
gfz2013uqzd,2013-10-21T21:35:06.240000Z,1.848,127.187,57.8,4.4,mb,,"Halmahera, Indonesia",30,2013-10-21T21:37:23.150000Z,LUWI,GE,BHE,s,,,2013-10-21T21:36:24.010000Z,LUWI,GE,BHZ,p,,,59.14
gfz2013ufit,2013-10-15T12:49:27.480000Z,-9.78,114.709,57.2,5.02,mb,,"South of Bali, Indonesia",144,2013-10-15T12:50:08.410000Z,JAGI,GE,BHZ,s,,,2013-10-15T12:49:49.660000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,18.75
gfz2013udpf,2013-10-14T13:48:44.130000Z,0.204,127.289,138.3,4.59,MLv,,"Halmahera, Indonesia",32,2013-10-14T13:49:21.400000Z,TNTI,GE,BHE,s,,,2013-10-14T13:49:05.760000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,15.64
gfz2013ucyl,2013-10-14T05:19:50.920000Z,-6.97,125.591,482.6,4.25,mb,,Banda Sea,24,2013-10-14T05:21:59.520000Z,SOEI,GE,BHE,s,,,2013-10-14T05:21:01.910000Z,SOEI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,57.61
