event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2020xpmh,2020-12-01T18:33:45.110000Z,-8.987,117.694,10.8,4.13,mb,,"Sumbawa Region, Indonesia",16,2020-12-01T18:33:53.660000Z,PLAI,GE,BHN,s,,,2020-12-01T18:33:50.450000Z,PLAI,GE,BHZ,p,,,3.21
gfz2020xost,2020-12-01T08:42:24.730000Z,-5.425,130.272,10.0,4.39,ML,,Banda Sea,26,2020-12-01T08:42:56.440000Z,BNDI,GE,BHE,s,,,2020-12-01T08:42:43.510000Z,BNDI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,12.93
gfz2020xost,2020-12-01T08:42:24.730000Z,-5.425,130.272,10.0,4.39,ML,,Banda Sea,26,2020-12-01T08:43:52.990000Z,FAKI,GE,BHE,s,,,2020-12-01T08:43:15.460000Z,FAKI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,37.53
gfz2020wrfa,2020-11-18T11:37:55.660000Z,-4.617,102.994,79.3,4.78,mb,,"Southern Sumatra, Indonesia",50,2020-11-18T11:38:17.420000Z,MNAI,GE,BHN,s,,,2020-11-18T11:38:08.060000Z,MNAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,9.36
gfz2020wfqn,2020-11-12T03:48:40.770000Z,-9.321,118.101,76.3,4.9,mb,,"Sumbawa Region, Indonesia",46,2020-11-12T03:49:07.070000Z,PLAI,GE,BHN,s,,,2020-11-12T03:48:55.820000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,11.25
gfz2020ugnr,2020-10-15T04:26:13.310000Z,-7.775,128.009,173.5,4.6,mb,,Banda Sea,23,2020-10-15T04:27:45.790000Z,SAUI,GE,BHN,s,,,2020-10-15T04:27:06.900000Z,SAUI,GE,BHZ,p,,,38.89
