event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2017zisk,2017-12-27T12:46:57.370000Z,1.111,120.384,25.7,4.61,mb,,"Minahassa Peninsula, Sulawesi",28,2017-12-27T12:47:13.490000Z,TOLI2,GE,BHZ,s,,,2017-12-27T12:47:07.360000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,6.13
gfz2017ukwz,2017-10-18T13:40:56.570000Z,-0.195,122.996,99.5,5.52,mb,,"Minahassa Peninsula, Sulawesi",164,2017-10-18T13:41:26.290000Z,LUWI,GE,BHZ,s,,,2017-10-18T13:41:13.810000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,12.48
gfz2017tnhx,2017-10-05T15:56:20.920000Z,0.947,127.544,10.0,4.32,mb,,"Halmahera, Indonesia",17,2017-10-05T15:56:30.540000Z,TNTI,GE,BHZ,s,,,2017-10-05T15:56:25.860000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,4.68
gfz2017tbbl,2017-09-28T23:01:35.920000Z,1.029,127.52,5.0,4.41,MLv,,"Halmahera, Indonesia",32,2017-09-28T23:01:46.160000Z,TNTI,GE,BHZ,s,,,2017-09-28T23:01:41.740000Z,TNTI,GE,BHZ,p,,,4.42
gfz2017tacj,2017-09-28T10:21:56.210000Z,-8.289,115.471,9.1,3.24,M,,"Bali Region, Indonesia",16,2017-09-28T10:22:36.720000Z,JAGI,GE,BHN,s,,,2017-09-28T10:22:19.460000Z,JAGI,GE,BHZ,p,,,17.26
gfz2017taci,2017-09-28T10:20:52.190000Z,0.955,127.567,3.5,4.0,MLv,,"Halmahera, Indonesia",23,2017-09-28T10:21:02.470000Z,TNTI,GE,BHZ,s,,,2017-09-28T10:20:58.060000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,4.41
gfz2017szqs,2017-09-28T04:29:29.880000Z,0.958,127.554,6.7,4.19,MLv,,"Halmahera, Indonesia",23,2017-09-28T04:29:40.180000Z,TNTI,GE,BHZ,s,,,2017-09-28T04:29:35.760000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,4.42
gfz2017sglz,2017-09-17T16:30:20.290000Z,0.949,127.36,155.7,4.23,mb,,"Halmahera, Indonesia",36,2017-09-17T16:30:58.250000Z,TNTI,GE,BHE,s,,,2017-09-17T16:30:41.640000Z,TNTI,GE,BHZ,p,,,16.61
gfz2017sglz,2017-09-17T16:30:20.290000Z,0.949,127.36,155.7,4.23,mb,,"Halmahera, Indonesia",36,2017-09-17T16:31:48.160000Z,SANI,GE,BHE,s,,,2017-09-17T16:31:11.300000Z,SANI,GE,BHZ,p,,,36.86
gfz2017nmdx,2017-07-11T15:34:43.990000Z,-9.224,113.061,53.6,4.53,mb,,"South of Java, Indonesia",31,2017-07-11T15:35:21.100000Z,JAGI,GE,BHZ,s,,,2017-07-11T15:35:05.160000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,15.94
gfz2017nlxf,2017-07-11T12:11:13.460000Z,-10.08,118.26,37.9,4.21,mb,,"South of Sumbawa, Indonesia",39,2017-07-11T12:11:49.280000Z,PLAI,GE,BHZ,s,,,2017-07-11T12:11:34.560000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,14.72
