event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2009frnu,2009-03-22T19:08:08.890000Z,-6.971,129.894,169.0,4.33,mb,,Banda Sea,19,2009-03-22T19:10:09.940000Z,FAKI,GE,BHZ,s,,,2009-03-22T19:09:18.550000Z,FAKI,GE,BHZ,p,,,51.39
gfz2009fpfk,2009-03-21T12:43:02.930000Z,-7.22,129.414,165.8,4.54,mb,,Banda Sea,24,2009-03-21T12:45:12.650000Z,FAKI,GE,BHE,s,,,2009-03-21T12:44:15.780000Z,FAKI,GE,BHZ,p,,,56.87
gfz2009fmdr,2009-03-19T20:22:28.180000Z,-9.44,117.809,120.3,4.34,mb,,"Sumbawa Region, Indonesia",21,2009-03-19T20:24:07.200000Z,JAGI,GE,BHE,s,,,2009-03-19T20:23:24.160000Z,JAGI,GE,BHZ,p,,,43.04
gfz2009floe,2009-03-19T12:31:22.160000Z,0.642,123.685,253.7,4.48,mb,,"Minahassa Peninsula, Sulawesi",34,2009-03-19T12:32:34.960000Z,LUWI,GE,BHE,s,,,2009-03-19T12:32:03.850000Z,LUWI,GE,BHZ,p,,,31.11
gfz2009floe,2009-03-19T12:31:22.160000Z,0.642,123.685,253.7,4.48,mb,,"Minahassa Peninsula, Sulawesi",34,2009-03-19T12:33:10.160000Z,TNTI,GE,BHZ,s,,,2009-03-19T12:32:23.700000Z,TNTI,GE,BHE,p,,,46.46
gfz2009fgfn,2009-03-16T14:27:42.700000Z,3.602,126.801,64.3,5.19,mb,,"Talaud Islands, Indonesia",32,2009-03-16T14:28:59.680000Z,TNTI,GE,BHN,s,,,2009-03-16T14:28:24.200000Z,TNTI,GE,BHZ,p,,,35.48
gfz2009ewtf,2009-03-11T09:54:52.080000Z,-1.802,139.145,10.0,4.68,mb,,Near North Coast of Irian Jaya,24,2009-03-11T09:57:53.910000Z,FAKI,GE,BHN,s,,,2009-03-11T09:56:34.160000Z,FAKI,GE,BHZ,p,,,79.75
gfz2009eqqh,2009-03-08T01:34:32.150000Z,1.218,126.92,71.9,4.5,mb,,Northern Molucca Sea,24,2009-03-08T01:34:57.790000Z,TNTI,GE,BHE,s,,,2009-03-08T01:34:45.980000Z,TNTI,GE,BHZ,p,,,11.81
gfz2009epev,2009-03-07T06:37:12.760000Z,4.69,96.673,13.9,4.66,mb,,"Northern Sumatra, Indonesia",27,2009-03-07T06:37:35.250000Z,LHMI,GE,BHE,s,,,2009-03-07T06:37:23.980000Z,LHMI,GE,BHZ,p,,,11.27
gfz2009ennn,2009-03-06T08:44:16.260000Z,-6.856,130.462,116.2,4.84,mb,,Banda Sea,21,2009-03-06T08:46:05.820000Z,FAKI,GE,BHN,s,,,2009-03-06T08:45:19.270000Z,FAKI,GE,BHZ,p,,,46.55
gfz2009enbu,2009-03-06T02:48:37.470000Z,4.173,127.402,10.0,4.6,mb,,"Talaud Islands, Indonesia",17,2009-03-06T02:50:12.560000Z,TNTI,GE,BHE,s,,,2009-03-06T02:49:31.300000Z,TNTI,GE,BHZ,p,,,41.26
gfz2009eirv,2009-03-03T17:11:50.540000Z,1.985,99.021,10.0,3.91,mb,,"Northern Sumatra, Indonesia",12,2009-03-03T17:12:41.650000Z,GSI,GE,BHE,s,,,2009-03-03T17:12:17.080000Z,GSI,GE,BHZ,p,,,24.57
gfz2009eirv,2009-03-03T17:11:50.540000Z,1.985,99.021,10.0,3.91,mb,,"Northern Sumatra, Indonesia",12,2009-03-03T17:13:35.390000Z,LHMI,GE,BHE,s,,,,,,,,,,
gfz2009efga,2009-03-01T19:47:11.250000Z,-7.648,128.249,159.7,4.51,mb,,Banda Sea,22,2009-03-01T19:49:47.240000Z,MMRI,GE,BHN,s,,,2009-03-01T19:48:39.500000Z,MMRI,GE,BHZ,p,,,67.74
gfz2009eavu,2009-02-27T10:02:15.500000Z,-0.191,123.062,113.7,4.77,mb,,"Minahassa Peninsula, Sulawesi",28,2009-02-27T10:02:52.140000Z,LUWI,GE,BHN,s,,,2009-02-27T10:02:36.350000Z,LUWI,GE,BHZ,p,,,15.79
gfz2009eavu,2009-02-27T10:02:15.500000Z,-0.191,123.062,113.7,4.77,mb,,"Minahassa Peninsula, Sulawesi",28,2009-02-27T10:04:11.700000Z,TNTI,GE,BHN,s,,,2009-02-27T10:03:20.990000Z,TNTI,GE,BHZ,p,,,50.71
gfz2009dygp,2009-02-26T00:03:32.380000Z,1.195,97.028,18.2,4.71,mb,,"Northern Sumatra, Indonesia",27,2009-02-26T00:03:53.240000Z,GSI,GE,BHE,s,,,2009-02-26T00:03:44.120000Z,GSI,GE,BHZ,p,,,9.12
gfz2009dygp,2009-02-26T00:03:32.380000Z,1.195,97.028,18.2,4.71,mb,,"Northern Sumatra, Indonesia",27,2009-02-26T00:05:19.800000Z,LHMI,GE,BHE,s,,,,,,,,,,
gfz2009dvue,2009-02-24T15:29:21.990000Z,1.39,96.917,16.9,4.45,mb,,Off West Coast of Northern Sumatra,21,2009-02-24T15:29:45.210000Z,GSI,GE,BHE,s,,,2009-02-24T15:29:35.890000Z,GSI,GE,BHZ,p,,,9.32
gfz2009dvgr,2009-02-24T08:40:39.140000Z,3.65,126.915,72.8,4.81,mb,,"Talaud Islands, Indonesia",48,2009-02-24T08:41:56.600000Z,TNTI,GE,BHN,s,,,2009-02-24T08:41:22.350000Z,TNTI,GE,BHZ,p,,,34.25
gfz2009dseu,2009-02-22T16:16:36.450000Z,3.624,126.758,68.3,4.77,mb,,"Talaud Islands, Indonesia",72,2009-02-22T16:17:53.900000Z,TNTI,GE,BHE,s,,,2009-02-22T16:17:19.100000Z,TNTI,GE,BHZ,p,,,34.8
gfz2009dseu,2009-02-22T16:16:36.450000Z,3.624,126.758,68.3,4.77,mb,,"Talaud Islands, Indonesia",72,2009-02-22T16:20:11.510000Z,FAKI,GE,BHE,s,,,2009-02-22T16:18:37.660000Z,FAKI,GE,BHZ,p,,,93.85
gfz2009dkli,2009-02-18T10:26:08.330000Z,3.616,126.744,69.0,5.12,mb,,"Talaud Islands, Indonesia",99,2009-02-18T10:27:25.080000Z,TNTI,GE,BHE,s,,,2009-02-18T10:26:50.830000Z,TNTI,GE,BHZ,p,,,34.25
gfz2009dkli,2009-02-18T10:26:08.330000Z,3.616,126.744,69.0,5.12,mb,,"Talaud Islands, Indonesia",99,2009-02-18T10:29:43.970000Z,FAKI,GE,BHN,s,,,2009-02-18T10:28:09.020000Z,FAKI,GE,BHZ,p,,,94.95
gfz2009dijd,2009-02-17T07:01:55.300000Z,2.352,128.253,114.4,5.21,mb,,"Halmahera, Indonesia",78,2009-02-17T07:02:48.950000Z,TNTI,GE,BHZ,s,,,2009-02-17T07:02:25.440000Z,TNTI,GE,BHZ,p,,,23.51
gfz2009dhbx,2009-02-16T14:13:59.170000Z,3.492,126.957,67.4,5.0,mb,,"Talaud Islands, Indonesia",55,2009-02-16T14:15:14.260000Z,TNTI,GE,BHE,s,,,2009-02-16T14:14:38.920000Z,TNTI,GE,BHZ,p,,,35.34
gfz2009dctr,2009-02-14T05:30:12.980000Z,4.088,126.873,63.0,5.06,mb,,"Talaud Islands, Indonesia",72,2009-02-14T05:31:41.120000Z,TNTI,GE,BHN,s,,,2009-02-14T05:31:01.940000Z,TNTI,GE,BHZ,p,,,39.18
gfz2009dbad,2009-02-13T06:28:46.250000Z,3.946,126.829,68.0,5.02,mb,,"Talaud Islands, Indonesia",77,2009-02-13T06:30:12.290000Z,TNTI,GE,BHZ,s,,,2009-02-13T06:29:32.690000Z,TNTI,GE,BHZ,p,,,39.6
gfz2009dagg,2009-02-12T20:25:03.030000Z,-8.326,121.311,195.7,5.2,mb,,"Flores Region, Indonesia",87,2009-02-12T20:25:54.920000Z,MMRI,GE,BHN,s,,,2009-02-12T20:25:32.660000Z,MMRI,GE,BHZ,p,,,22.26
gfz2009daap,2009-02-12T17:34:27.820000Z,-7.045,129.763,114.3,4.94,mb,,Banda Sea,40,2009-02-12T17:36:30.320000Z,FAKI,GE,BHN,s,,,2009-02-12T17:35:37.580000Z,FAKI,GE,BHZ,p,,,52.74
