event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2011lnaf,2011-06-13T15:46:35.300000Z,-8.181,110.755,146.8,4.65,mb,,"Java, Indonesia",67,2011-06-13T15:47:11.880000Z,UGM,GE,BHZ,s,,,2011-06-13T15:46:56.010000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,15.87
gfz2011lnaf,2011-06-13T15:46:35.300000Z,-8.181,110.755,146.8,4.65,mb,,"Java, Indonesia",67,2011-06-13T15:47:21.270000Z,SMRI,GE,BHZ,s,,,2011-06-13T15:47:02.060000Z,SMRI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,19.21
gfz2011lbik,2011-06-07T06:16:50.580000Z,-10.865,113.426,5.8,4.61,mb,,"South of Java, Indonesia",25,2011-06-07T06:18:03.340000Z,JAGI,GE,BHE,s,,,2011-06-07T06:17:31.160000Z,JAGI,GE,BHZ,p,,,32.18
gfz2011kyss,2011-06-05T20:04:14.760000Z,4.839,95.751,103.4,4.89,mb,,"Northern Sumatra, Indonesia",76,2011-06-05T20:04:56.210000Z,LHMI,GE,BHN,s,,,2011-06-05T20:04:38.470000Z,LHMI,GE,BHZ,p,,,17.74
gfz2011kyss,2011-06-05T20:04:14.760000Z,4.839,95.751,103.4,4.89,mb,,"Northern Sumatra, Indonesia",76,2011-06-05T20:05:57.380000Z,GSI,GE,BHE,s,,,2011-06-05T20:05:13.020000Z,GSI,GE,BHZ,p,,,44.36
gfz2011goow,2011-04-04T10:04:30.310000Z,-9.934,107.466,10.0,4.96,mb,,"South of Java, Indonesia",21,2011-04-04T10:06:06.090000Z,UGM,GE,BHE,s,,,2011-04-04T10:05:28.590000Z,UGM,GE,BHZ,p,,,37.5
gfz2011dovs,2011-02-20T20:15:43.070000Z,-8.305,109.693,89.4,4.35,mb,,"Java, Indonesia",65,2011-02-20T20:16:15.590000Z,UGM,GE,BHZ,s,,,2011-02-20T20:16:00.910000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,14.68
