event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2024yvub,2024-12-19T10:51:30.890000Z,-6.38,130.344,143.9,4.31,mb,,Banda Sea,41,2024-12-19T10:52:32.900000Z,BNDI,GE,BHN,s,,,2024-12-19T10:52:06.480000Z,BNDI,GE,BHZ,p,,,26.42
gfz2024ytcb,2024-12-17T23:29:29.300000Z,-6.193,133.101,10.0,4.62,mb,,"Aru Islands Region, Indonesia",19,2024-12-17T23:31:00.120000Z,FAKI,GE,BHE,s,,,2024-12-17T23:30:22.160000Z,FAKI,GE,BHZ,p,,,37.96
gfz2024ysdn,2024-12-17T11:05:37.020000Z,5.167,127.438,133.8,4.98,mb,,Philippine Islands Region,93,2024-12-17T11:07:31.660000Z,TNTI,GE,BHZ,s,,,2024-12-17T11:06:42.430000Z,TNTI,GE,BHZ,p,,,49.23
gfz2024yrib,2024-12-17T00:13:16.510000Z,-8.613,118.33,129.1,4.54,mb,,"Sumbawa Region, Indonesia",22,2024-12-17T00:13:51.960000Z,PLAI,GE,BHE,s,,,2024-12-17T00:13:37.490000Z,PLAI,GE,BHZ,p,,,14.47
gfz2024yqam,2024-12-16T07:16:50.710000Z,-7.926,121.033,10.0,4.83,mb,,Flores Sea,43,2024-12-16T07:17:32.960000Z,MMRI,GE,BHN,s,,,2024-12-16T07:17:16.090000Z,MMRI,GE,BHZ,p,,,16.87
gfz2024yqam,2024-12-16T07:16:50.710000Z,-7.926,121.033,10.0,4.83,mb,,Flores Sea,43,2024-12-16T07:18:22.800000Z,PLAI,GE,BHE,s,,,2024-12-16T07:17:43.840000Z,PLAI,GE,BHZ,p,,,38.96
gfz2024yovi,2024-12-15T15:31:46.990000Z,1.958,128.289,107.6,4.62,mb,,"Halmahera, Indonesia",43,2024-12-15T15:32:33.560000Z,TNTI,GE,BHN,s,,,2024-12-15T15:32:13.730000Z,TNTI,GE,BHZ,p,,,19.83
gfz2024yekl,2024-12-09T22:41:07.570000Z,-7.476,129.137,82.6,4.73,mb,,Banda Sea,29,2024-12-09T22:43:28.760000Z,FAKI,GE,BHN,s,,,2024-12-09T22:42:26.360000Z,FAKI,GE,BHZ,p,,,62.4
gfz2024xsyn,2024-12-03T16:09:13.140000Z,4.821,126.409,15.0,5.17,Mw,,"Talaud Islands, Indonesia",131,2024-12-03T16:13:21.760000Z,FAKI,GE,BHN,s,,,2024-12-03T16:11:33.810000Z,FAKI,GE,BHZ,p,,,107.95
gfz2024xqwc,2024-12-02T12:40:00.610000Z,-8.055,106.964,13.5,4.75,mb,,"South of Java, Indonesia",27,2024-12-02T12:40:28.560000Z,BBJI,GE,BHN,s,,,2024-12-02T12:40:18.060000Z,BBJI,GE,BHZ,p,,,10.5
gfz2024xqwc,2024-12-02T12:40:00.610000Z,-8.055,106.964,13.5,4.75,mb,,"South of Java, Indonesia",27,2024-12-02T12:41:37.920000Z,SMRI,GE,BHN,s,,,2024-12-02T12:40:57.040000Z,SMRI,GE,BHZ,p,,,40.88
gfz2024xkub,2024-11-29T04:49:41.020000Z,-9.265,114.59,59.1,4.22,mb,,"South of Bali, Indonesia",26,2024-11-29T04:50:09.740000Z,JAGI,GE,BHN,s,,,2024-11-29T04:49:58.050000Z,JAGI,GE,BHZ,p,,,11.69
gfz2024xkub,2024-11-29T04:49:41.020000Z,-9.265,114.59,59.1,4.22,mb,,"South of Bali, Indonesia",26,2024-11-29T04:51:06.300000Z,PLAI,GE,BHN,s,,,2024-11-29T04:50:29.610000Z,PLAI,GE,BHZ,p,,,36.69
gfz2024wupd,2024-11-20T08:09:01.110000Z,-7.475,120.0,442.9,4.47,mb,,Flores Sea,32,2024-11-20T08:10:52.970000Z,MMRI,GE,BHN,s,,,2024-11-20T08:10:04.290000Z,MMRI,GE,BHZ,p,,,48.68
