event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2016yliu,2016-12-13T17:47:59.750000Z,-6.616,130.054,158.8,4.27,mb,,Banda Sea,41,2016-12-13T17:48:57.850000Z,SAUI,GE,BHZ,s,,,2016-12-13T17:48:34.910000Z,SAUI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,22.94
gfz2016xzgq,2016-12-07T03:04:48.490000Z,5.304,96.146,10.0,4.38,M,,"Northern Sumatra, Indonesia",11,2016-12-07T03:05:15.890000Z,LHMI,GE,BHN,s,,,2016-12-07T03:05:04.710000Z,LHMI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,11.18
gfz2016wpua,2016-11-17T16:56:45.610000Z,-6.35,130.521,131.9,5.5,Mw,,Banda Sea,252,2016-11-17T16:57:38.840000Z,SAUI,GE,BHZ,s,,,2016-11-17T16:57:17.410000Z,SAUI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,21.43
gfz2016wcii,2016-11-10T08:15:34.150000Z,-8.903,111.34,72.5,4.81,mb,,"South of Java, Indonesia",83,2016-11-10T08:16:13.720000Z,UGM,GE,BHE,s,,,2016-11-10T08:15:55.610000Z,UGM,GE,BHZ,p,,,18.11
gfz2016rfim,2016-09-01T20:04:17.500000Z,0.561,98.529,38.2,5.33,Mw,,"Northern Sumatra, Indonesia",414,2016-09-01T20:04:55.030000Z,GSI,GE,BHN,s,,,2016-09-01T20:04:39.360000Z,GSI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,15.67
