event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2013mcso,2013-06-22T06:05:02.860000Z,-5.329,104.32,160.5,4.38,mb,,"Southern Sumatra, Indonesia",34,2013-06-22T06:06:01.160000Z,MNAI,GE,BHZ,s,,,2013-06-22T06:05:37.020000Z,MNAI,GE,BHZ,p,,,24.14
gfz2013kniy,2013-05-30T14:38:23.790000Z,-2.924,128.034,40.1,4.93,mb,,Ceram Sea,96,2013-05-30T14:39:21.290000Z,SANI,GE,BHN,s,,,2013-05-30T14:38:56.060000Z,SANI,GE,BHZ,p,,,25.23
gfz2013kniy,2013-05-30T14:38:23.790000Z,-2.924,128.034,40.1,4.93,mb,,Ceram Sea,96,2013-05-30T14:40:47.960000Z,LUWI,GE,BHN,s,,,2013-05-30T14:39:43.830000Z,LUWI,GE,BHZ,p,,,64.13
gfz2013kniy,2013-05-30T14:38:23.790000Z,-2.924,128.034,40.1,4.93,mb,,Ceram Sea,96,2013-05-30T14:41:53.160000Z,TOLI2,GE,BHN,s,,,2013-05-30T14:40:20.670000Z,TOLI2,GE,BHZ,p,,,92.49
gfz2013kbys,2013-05-24T08:58:33.440000Z,0.781,122.719,72.6,4.87,mb,,"Minahassa Peninsula, Sulawesi",50,2013-05-24T08:59:26.730000Z,LUWI,GE,BHE,s,,,2013-05-24T08:59:03.240000Z,LUWI,GE,BHZ,p,,,23.49
gfz2013jvgk,2013-05-20T16:54:29.800000Z,-10.019,111.577,10.0,4.09,M,,"South of Java, Indonesia",25,2013-05-20T16:55:51.010000Z,JAGI,GE,BHE,s,,,2013-05-20T16:55:17.450000Z,JAGI,GE,BHZ,p,,,33.56
gfz2013jvgk,2013-05-20T16:54:29.800000Z,-10.019,111.577,10.0,4.09,M,,"South of Java, Indonesia",25,2013-05-20T16:55:59.490000Z,SMRI,GE,BHE,s,,,2013-05-20T16:55:19.460000Z,SMRI,GE,BHZ,p,,,40.03
gfz2013jtfz,2013-05-19T14:26:13.310000Z,-8.65,126.696,85.0,4.32,mb,,Timor Region,35,2013-05-19T14:28:13.580000Z,SAUI,GE,BHE,s,,,2013-05-19T14:27:21.060000Z,SAUI,GE,BHZ,p,,,52.52
gfz2013jtfz,2013-05-19T14:26:13.310000Z,-8.65,126.696,85.0,4.32,mb,,Timor Region,35,2013-05-19T14:29:47.730000Z,LUWI,GE,BHE,s,,,,,,,,,,
gfz2013jndg,2013-05-16T06:13:52.340000Z,-9.082,117.46,120.7,4.48,mb,,"Sumbawa Region, Indonesia",34,2013-05-16T06:15:20.750000Z,JAGI,GE,BHE,s,,,2013-05-16T06:14:42.510000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,38.24
gfz2013jbwd,2013-05-10T02:08:07.800000Z,-7.533,107.538,2.0,4.1,mb,,"Java, Indonesia",23,2013-05-10T02:09:34.300000Z,UGM,GE,BHE,s,,,2013-05-10T02:08:55.970000Z,UGM,GE,BHZ,p,,,38.33
gfz2013jbax,2013-05-09T15:24:16.460000Z,-10.455,118.902,10.0,4.43,mb,,"South of Sumbawa, Indonesia",39,2013-05-09T15:26:39.360000Z,SOEI,GE,BHE,s,,,2013-05-09T15:25:37.170000Z,SOEI,GE,BHZ,p,,,62.19
gfz2013hpoo,2013-04-19T03:08:12.630000Z,4.846,95.986,5.0,4.23,mb,,"Northern Sumatra, Indonesia",28,2013-04-19T03:08:46.150000Z,LHMI,GE,BHE,s,,,2013-04-19T03:08:31.410000Z,LHMI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,14.74
gfz2013hjin,2013-04-15T17:16:29.600000Z,5.931,126.087,108.7,4.42,mb,,"Mindanao, Philippines",45,2013-04-15T17:19:26.940000Z,TOLI2,GE,BHZ,s,,,2013-04-15T17:18:10.800000Z,TOLI2,GE,BHZ,p,,,76.14
gfz2013hegz,2013-04-12T22:48:54.440000Z,-3.967,127.644,192.9,4.22,mb,,"Seram, Indonesia",26,2013-04-12T22:50:10.070000Z,SANI,GE,BHZ,s,,,2013-04-12T22:49:37.980000Z,SANI,GE,BHZ,p,,,32.09
gfz2013hbue,2013-04-11T14:04:40.040000Z,-9.203,119.085,100.2,4.39,mb,,"Sumba Region, Indonesia",67,2013-04-11T14:05:22.940000Z,PLAI,GE,BHN,s,,,2013-04-11T14:05:04.830000Z,PLAI,GE,BHZ,p,,,18.11
gfz2013hbue,2013-04-11T14:04:40.040000Z,-9.203,119.085,100.2,4.39,mb,,"Sumba Region, Indonesia",67,2013-04-11T14:06:05.900000Z,MMRI,GE,BHE,s,,,2013-04-11T14:05:29.230000Z,MMRI,GE,BHZ,p,,,36.67
gfz2013hbue,2013-04-11T14:04:40.040000Z,-9.203,119.085,100.2,4.39,mb,,"Sumba Region, Indonesia",67,2013-04-11T14:06:45.610000Z,JAGI,GE,BHN,s,,,2013-04-11T14:05:50.960000Z,JAGI,GE,BHZ,p,,,54.65
gfz2013grue,2013-04-06T02:43:34.110000Z,5.009,126.464,105.0,4.46,mb,,"Mindanao, Philippines",26,2013-04-06T02:46:32.750000Z,SANI,GE,BHZ,s,,,2013-04-06T02:45:11.890000Z,SANI,GE,BHZ,p,,,80.86
