event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2025jjgk,2025-05-14T03:16:58.970000Z,-4.274,102.463,57.7,4.74,mb,,"Southern Sumatra, Indonesia",81,2025-05-14T03:17:20.670000Z,MNAI,GE,BHN,s,,,2025-05-14T03:17:11.330000Z,MNAI,GE,BHZ,p,,,9.34
gfz2025hvpc,2025-04-22T10:14:05.820000Z,-8.121,106.917,47.7,5.46,mb,,"South of Java, Indonesia",119,2025-04-22T10:16:24.360000Z,MNAI,GE,BHE,s,,,2025-04-22T10:15:23.000000Z,MNAI,GE,BHZ,p,,,61.36
gfz2025gvra,2025-04-08T05:40:30.730000Z,-6.772,129.794,128.9,4.68,mb,,Banda Sea,27,2025-04-08T05:43:10.790000Z,SOEI,GE,BHN,s,,,2025-04-08T05:42:01.410000Z,SOEI,GE,BHZ,p,,,69.38
gfz2025ghay,2025-03-31T05:38:35.730000Z,-9.441,119.13,66.5,4.47,mb,,"Sumba Region, Indonesia",15,2025-03-31T05:39:18.810000Z,PLAI,GE,BHZ,s,,,2025-03-31T05:39:00.900000Z,PLAI,GE,BHZ,p,,,17.91
gfz2025fwkg,2025-03-25T09:50:50.840000Z,-6.353,130.384,124.6,4.74,Mw,,Banda Sea,111,2025-03-25T09:51:51.030000Z,BNDI,GE,BHE,s,,,2025-03-25T09:51:25.750000Z,BNDI,GE,BHZ,p,,,25.28
gfz2025fwkg,2025-03-25T09:50:50.840000Z,-6.353,130.384,124.6,4.74,Mw,,Banda Sea,111,2025-03-25T09:52:29.650000Z,FAKI,GE,BHE,s,,,2025-03-25T09:51:47.940000Z,FAKI,GE,BHZ,p,,,41.71
gfz2025fwkg,2025-03-25T09:50:50.840000Z,-6.353,130.384,124.6,4.74,Mw,,Banda Sea,111,2025-03-25T09:53:48.100000Z,SOEI,GE,BHN,s,,,2025-03-25T09:52:32.260000Z,SOEI,GE,BHZ,p,,,75.84
gfz2025fwkg,2025-03-25T09:50:50.840000Z,-6.353,130.384,124.6,4.74,Mw,,Banda Sea,111,2025-03-25T09:54:25.460000Z,MMRI,GE,BHN,s,,,2025-03-25T09:52:54.040000Z,MMRI,GE,BHZ,p,,,91.42
gfz2025fshn,2025-03-23T03:55:41.930000Z,-6.981,125.222,525.7,4.35,mb,,Banda Sea,35,2025-03-23T03:57:52.100000Z,SOEI,GE,BHE,s,,,2025-03-23T03:56:55.160000Z,SOEI,GE,BHZ,p,,,56.94
gfz2025fshn,2025-03-23T03:55:41.930000Z,-6.981,125.222,525.7,4.35,mb,,Banda Sea,35,2025-03-23T03:58:19.950000Z,SANI,GE,BHE,s,,,2025-03-23T03:57:09.690000Z,SANI,GE,BHZ,p,,,70.26
gfz2025ewvp,2025-03-11T10:02:14.180000Z,-6.792,130.147,123.7,4.3,mb,,Banda Sea,23,2025-03-11T10:04:55.760000Z,SANI,GE,BHN,s,,,2025-03-11T10:03:44.050000Z,SANI,GE,BHZ,p,,,71.71
gfz2025eumh,2025-03-10T03:03:49.790000Z,-9.823,124.616,10.0,4.28,mb,,Timor Region,11,2025-03-10T03:05:04.470000Z,MMRI,GE,BHE,s,,,2025-03-10T03:04:34.460000Z,MMRI,GE,BHZ,p,,,30.01
gfz2025elvt,2025-03-05T09:37:28.840000Z,-9.303,123.768,97.7,4.46,mb,,Timor Region,23,2025-03-05T09:38:01.470000Z,SOEI,GE,BHE,s,,,2025-03-05T09:37:47.920000Z,SOEI,GE,BHZ,p,,,13.55
gfz2025dygb,2025-02-25T22:55:47.150000Z,0.335,124.926,10.0,6.07,Mw,,"Minahassa Peninsula, Sulawesi",225,2025-02-25T22:57:00.250000Z,LUWI,GE,BHE,s,,,2025-02-25T22:56:25.610000Z,LUWI,GE,BHZ,p,,,34.64
gfz2025dygb,2025-02-25T22:55:47.150000Z,0.335,124.926,10.0,6.07,Mw,,"Minahassa Peninsula, Sulawesi",225,2025-02-25T22:57:39.660000Z,TOLI2,GE,BHN,s,,,2025-02-25T22:56:49.180000Z,TOLI2,GE,BHZ,p,,,50.48
gfz2025dlfh,2025-02-18T19:46:26.780000Z,0.513,122.243,106.0,4.52,mb,,"Minahassa Peninsula, Sulawesi",32,2025-02-18T19:47:13.850000Z,TOLI2,GE,BHN,s,,,2025-02-18T19:46:53.010000Z,TOLI2,GE,BHZ,p,,,20.84
gfz2025dlfh,2025-02-18T19:46:26.780000Z,0.513,122.243,106.0,4.52,mb,,"Minahassa Peninsula, Sulawesi",32,2025-02-18T19:47:20.150000Z,LUWI,GE,BHN,s,,,2025-02-18T19:46:55.210000Z,LUWI,GE,BHZ,p,,,24.94
gfz2025dcky,2025-02-14T00:22:56.790000Z,-7.095,129.649,141.7,4.98,Mw,,Banda Sea,120,2025-02-14T00:24:13.840000Z,BNDI,GE,BHE,s,,,2025-02-14T00:23:40.910000Z,BNDI,GE,BHZ,p,,,32.93
gfz2025dcky,2025-02-14T00:22:56.790000Z,-7.095,129.649,141.7,4.98,Mw,,Banda Sea,120,2025-02-14T00:24:59.530000Z,FAKI,GE,BHE,s,,,2025-02-14T00:24:07.200000Z,FAKI,GE,BHZ,p,,,52.33
