event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2019mbfs,2019-06-21T10:27:26.710000Z,-8.426,108.759,49.3,5.07,mb,,"Java, Indonesia",39,2019-06-21T10:28:08.550000Z,BBJI,GE,BHN,s,,,2019-06-21T10:27:50.960000Z,BBJI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,17.59
gfz2019hinv,2019-04-15T06:49:37.040000Z,-9.127,120.576,109.5,4.56,mb,,"Sumba Region, Indonesia",29,2019-04-15T06:50:29.380000Z,MMRI,GE,BHN,s,,,2019-04-15T06:50:07.260000Z,MMRI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,22.12
gfz2019cznc,2019-02-12T10:05:44.300000Z,-8.393,116.844,7.8,4.52,mb,,"Sumbawa Region, Indonesia",25,2019-02-12T10:06:17.640000Z,PLAI,GE,BHN,s,,,2019-02-12T10:06:04.010000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,13.63
gfz2019cxju,2019-02-11T06:08:49.440000Z,-7.225,107.658,5.6,4.37,mb,,"Java, Indonesia",14,2019-02-11T06:08:59.140000Z,BBJI,GE,BHE,s,,,2019-02-11T06:08:54.060000Z,BBJI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,5.08
gfz2019ckqw,2019-02-04T06:57:30.800000Z,-1.158,100.651,97.6,4.5,mb,,"Southern Sumatra, Indonesia",20,2019-02-04T06:58:16.370000Z,BKNI,GE,BHN,s,,,2019-02-04T06:57:57.160000Z,BKNI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,19.21
