event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2011ywdf,2011-12-20T15:28:05.050000Z,1.6,127.5,132.1,4.36,mb,,"Halmahera, Indonesia",43,2011-12-20T15:28:44.750000Z,TNTI,GE,BHN,s,,,2011-12-20T15:28:27.310000Z,TNTI,GE,BHZ,p,,,17.44
gfz2011yfab,2011-12-11T06:34:18.170000Z,-8.219,107.307,20.3,4.83,MLv,,"Java, Indonesia",42,2011-12-11T06:35:44.150000Z,UGM,GE,BHE,s,,,2011-12-11T06:35:07.460000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,36.69
gfz2011yfab,2011-12-11T06:34:18.170000Z,-8.219,107.307,20.3,4.83,MLv,,"Java, Indonesia",42,2011-12-11T06:35:48.770000Z,SMRI,GE,BHE,s,,,2011-12-11T06:35:10.460000Z,SMRI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,38.31
gfz2011ycjg,2011-12-09T19:48:37.410000Z,-0.951,126.875,10.0,5.05,mb,,Southern Molucca Sea,28,2011-12-09T19:49:21.070000Z,SANI,GE,BHE,s,,,2011-12-09T19:49:00.660000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,20.41
gfz2011ycjg,2011-12-09T19:48:37.410000Z,-0.951,126.875,10.0,5.05,mb,,Southern Molucca Sea,28,2011-12-09T19:51:09.780000Z,FAKI,GE,BHE,s,,,2011-12-09T19:50:01.590000Z,FAKI,GE,BHZ,p,,,68.19
gfz2011xxju,2011-12-07T02:24:03.850000Z,-0.528,127.425,108.4,4.48,mb,,"Halmahera, Indonesia",27,2011-12-07T02:25:01.830000Z,SANI,GE,BHE,s,,,2011-12-07T02:24:37.860000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,23.97
gfz2011xxju,2011-12-07T02:24:03.850000Z,-0.528,127.425,108.4,4.48,mb,,"Halmahera, Indonesia",27,2011-12-07T02:26:06.190000Z,LUWI,GE,BHE,s,,,2011-12-07T02:25:12.980000Z,LUWI,GE,BHZ,p,,,53.21
gfz2011xxju,2011-12-07T02:24:03.850000Z,-0.528,127.425,108.4,4.48,mb,,"Halmahera, Indonesia",27,2011-12-07T02:26:19.280000Z,FAKI,GE,BHE,s,,,2011-12-07T02:25:21.520000Z,FAKI,GE,BHZ,p,,,57.76
gfz2011tdlh,2011-09-30T06:17:17.370000Z,-9.553,118.412,5.0,4.7,mb,,"Sumbawa Region, Indonesia",17,2011-09-30T06:17:48.920000Z,PLAI,GE,BHZ,s,,,2011-09-30T06:17:35.540000Z,PLAI,GE,BHZ,p,,,13.38
gfz2011swwe,2011-09-26T15:50:01.170000Z,-4.741,103.737,154.4,4.41,mb,,"Southern Sumatra, Indonesia",41,2011-09-26T15:50:45.730000Z,MNAI,GE,BHZ,s,,,2011-09-26T15:50:26.860000Z,MNAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,18.87
gfz2011swwe,2011-09-26T15:50:01.170000Z,-4.741,103.737,154.4,4.41,mb,,"Southern Sumatra, Indonesia",41,2011-09-26T15:51:04.050000Z,PMBI,GE,BHZ,s,,,2011-09-26T15:50:37.320000Z,PMBI,GE,BHZ,p,,,26.73
gfz2011rwjh,2011-09-12T03:47:47.280000Z,-9.779,117.821,20.1,4.72,mb,,"Sumbawa Region, Indonesia",22,2011-09-12T03:48:17.590000Z,PLAI,GE,BHE,s,,,2011-09-12T03:48:04.710000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,12.88
