event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2012yhuy,2012-12-11T19:23:44.600000Z,4.242,128.207,28.2,4.48,mb,,"North of Halmahera, Indonesia",25,2012-12-11T19:25:21.760000Z,TNTI,GE,BHN,s,,,2012-12-11T19:24:36.090000Z,TNTI,GE,BHZ,p,,,45.67
gfz2012yhuy,2012-12-11T19:23:44.600000Z,4.242,128.207,28.2,4.48,mb,,"North of Halmahera, Indonesia",25,2012-12-11T19:27:09.080000Z,TOLI2,GE,BHN,s,,,2012-12-11T19:25:39.310000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,89.77
gfz2012yfdf,2012-12-10T08:09:21.040000Z,-0.477,96.634,20.0,4.39,mb,,"Southwest of Sumatra, Indonesia",32,2012-12-10T08:10:18.740000Z,GSI,GE,BHE,s,,,2012-12-10T08:09:53.160000Z,GSI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,25.58
gfz2012yeob,2012-12-10T00:30:10.290000Z,-6.134,128.588,309.9,4.59,mb,,Banda Sea,13,2012-12-10T00:32:42.440000Z,SOEI,GE,BHN,s,,,2012-12-10T00:31:35.060000Z,SOEI,GE,BHZ,p,,,67.38
gfz2012ycal,2012-12-08T15:20:54.860000Z,-8.504,113.388,2.0,3.62,M,,"Java, Indonesia",14,2012-12-08T15:21:19.040000Z,JAGI,GE,BHZ,s,,,2012-12-08T15:21:09.110000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,9.93
gfz2012ybmy,2012-12-08T08:32:09.330000Z,-9.859,114.245,63.8,4.43,mb,,"South of Bali, Indonesia",45,2012-12-08T08:32:47.120000Z,JAGI,GE,BHZ,s,,,2012-12-08T08:32:30.410000Z,JAGI,GE,BHZ,p,,,16.71
gfz2012xqdd,2012-12-02T03:04:40.380000Z,-5.578,120.122,15.9,4.66,mb,,"Sulawesi, Indonesia",28,2012-12-02T03:06:27.120000Z,PLAI,GE,BHE,s,,,2012-12-02T03:05:41.630000Z,PLAI,GE,BHZ,p,,,45.49
gfz2012xqdd,2012-12-02T03:04:40.380000Z,-5.578,120.122,15.9,4.66,mb,,"Sulawesi, Indonesia",28,2012-12-02T03:06:57.890000Z,LUWI,GE,BHE,s,,,2012-12-02T03:05:55.400000Z,LUWI,GE,BHZ,p,,,62.49
gfz2012xahl,2012-11-23T11:05:08.930000Z,-5.841,131.816,102.6,4.61,mb,,Banda Sea,21,2012-11-23T11:06:13.880000Z,BNDI,GE,BHE,s,,,2012-11-23T11:05:45.760000Z,BNDI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,28.12
gfz2012xahl,2012-11-23T11:05:08.930000Z,-5.841,131.816,102.6,4.61,mb,,Banda Sea,21,2012-11-23T11:06:27.490000Z,FAKI,GE,BHE,s,,,2012-11-23T11:05:54.110000Z,FAKI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,33.38
gfz2012wwoh,2012-11-21T09:59:40.890000Z,-8.81,118.39,114.0,4.89,mb,,"Sumbawa Region, Indonesia",55,2012-11-21T10:00:14.460000Z,PLAI,GE,BHE,s,,,2012-11-21T10:00:00.360000Z,PLAI,GE,BHZ,p,,,14.1
gfz2012wwoh,2012-11-21T09:59:40.890000Z,-8.81,118.39,114.0,4.89,mb,,"Sumbawa Region, Indonesia",55,2012-11-21T10:01:30.010000Z,JAGI,GE,BHE,s,,,2012-11-21T10:00:41.960000Z,JAGI,GE,BHZ,p,,,48.05
gfz2012wvgj,2012-11-20T16:53:30.240000Z,-2.883,102.361,150.5,3.85,M,,"Southern Sumatra, Indonesia",24,2012-11-20T16:54:25.000000Z,MNAI,GE,BHE,s,,,2012-11-20T16:54:01.930000Z,MNAI,GE,BHZ,p,,,23.07
gfz2012wmnj,2012-11-15T22:10:26.320000Z,-0.045,123.388,136.9,4.69,mb,,"Minahassa Peninsula, Sulawesi",39,2012-11-15T22:11:09.690000Z,LUWI,GE,BHE,s,,,2012-11-15T22:10:50.360000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,19.33
gfz2012widq,2012-11-13T12:42:49.700000Z,0.389,122.208,136.1,4.44,mb,,"Minahassa Peninsula, Sulawesi",37,2012-11-13T12:43:40.940000Z,LUWI,GE,BHE,s,,,2012-11-13T12:43:18.760000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,22.18
gfz2012widq,2012-11-13T12:42:49.700000Z,0.389,122.208,136.1,4.44,mb,,"Minahassa Peninsula, Sulawesi",37,2012-11-13T12:43:42.650000Z,TOLI2,GE,BHE,s,,,2012-11-13T12:43:19.510000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,23.14
gfz2012wbis,2012-11-09T19:19:01.120000Z,-7.915,128.22,119.5,4.28,mb,,Banda Sea,34,2012-11-09T19:20:55.150000Z,SOEI,GE,BHE,s,,,2012-11-09T19:20:05.040000Z,SOEI,GE,BHZ,p,,,50.11
gfz2012wbis,2012-11-09T19:19:01.120000Z,-7.915,128.22,119.5,4.28,mb,,Banda Sea,34,2012-11-09T19:21:45.350000Z,FAKI,GE,BHE,s,,,2012-11-09T19:20:32.460000Z,FAKI,GE,BHZ,p,,,72.89
gfz2012uneo,2012-10-18T19:47:45.900000Z,-8.082,107.251,40.7,4.35,mb,,"Java, Indonesia",61,2012-10-18T19:49:11.660000Z,UGM,GE,BHE,s,,,2012-10-18T19:48:33.690000Z,UGM,GE,BHZ,p,,,37.97
gfz2012uneo,2012-10-18T19:47:45.900000Z,-8.082,107.251,40.7,4.35,mb,,"Java, Indonesia",61,2012-10-18T19:49:16.020000Z,SMRI,GE,BHE,s,,,2012-10-18T19:48:36.850000Z,SMRI,GE,BHZ,p,,,39.17
