event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2022xote,2022-12-02T08:55:15.390000Z,-0.068,123.204,152.8,4.96,mb,,"Minahassa Peninsula, Sulawesi",51,2022-12-02T08:55:59.140000Z,LUWI,GE,BHE,s,,,2022-12-02T08:55:41.160000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,17.98
gfz2022xote,2022-12-02T08:55:15.390000Z,-0.068,123.204,152.8,4.96,mb,,"Minahassa Peninsula, Sulawesi",51,2022-12-02T08:56:31.560000Z,TOLI2,GE,BHE,s,,,2022-12-02T08:55:59.660000Z,TOLI2,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,31.9
gfz2022xote,2022-12-02T08:55:15.390000Z,-0.068,123.204,152.8,4.96,mb,,"Minahassa Peninsula, Sulawesi",51,2022-12-02T08:56:43.570000Z,SANI,GE,BHN,s,,,2022-12-02T08:56:06.560000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,37.01
gfz2022twah,2022-10-10T10:18:38.360000Z,1.806,97.807,43.7,4.87,M,,"Northern Sumatra, Indonesia",32,2022-10-10T10:19:01.330000Z,GSI,GE,BHZ,s,,,2022-10-10T10:18:52.120000Z,GSI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,9.21
gfz2022sqkl,2022-09-23T03:05:35.210000Z,-8.677,119.274,124.9,4.53,mb,,"Flores Region, Indonesia",74,2022-09-23T03:06:23.980000Z,PLAI,GE,BHE,s,,,2022-09-23T03:06:03.060000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/DL,,20.92
gfz2022sqkl,2022-09-23T03:05:35.210000Z,-8.677,119.274,124.9,4.53,mb,,"Flores Region, Indonesia",74,2022-09-23T03:06:55.670000Z,MMRI,GE,BHE,s,,,2022-09-23T03:06:20.560000Z,MMRI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/DL,,35.11
