event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2012mpmh,2012-06-28T05:41:11.080000Z,-7.869,127.026,99.6,4.19,mb,,Banda Sea,20,2012-06-28T05:42:40.980000Z,SOEI,GE,BHZ,s,,,2012-06-28T05:42:01.000000Z,SOEI,GE,BHZ,p,,,39.98
gfz2012ltyh,2012-06-16T10:44:26.400000Z,-9.681,117.164,10.0,4.56,mb,,"Sumbawa Region, Indonesia",38,2012-06-16T10:44:59.420000Z,PLAI,GE,BHZ,s,,,2012-06-16T10:44:46.760000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,12.66
gfz2012ltyh,2012-06-16T10:44:26.400000Z,-9.681,117.164,10.0,4.56,mb,,"Sumbawa Region, Indonesia",38,2012-06-16T10:45:52.690000Z,JAGI,GE,BHZ,s,,,2012-06-16T10:45:16.410000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,36.28
gfz2012lnpl,2012-06-12T23:27:26.880000Z,-8.504,109.23,56.4,4.13,M,,"Java, Indonesia",23,2012-06-12T23:28:08.450000Z,UGM,GE,BHN,s,,,2012-06-12T23:27:50.410000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,18.04
gfz2012kaia,2012-05-22T11:24:28.990000Z,-8.997,110.184,41.2,4.41,mb,,"Java, Indonesia",52,2012-05-22T11:25:01.240000Z,UGM,GE,BHZ,s,,,2012-05-22T11:24:47.160000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,14.08
gfz2012jjji,2012-05-13T04:46:06.020000Z,-0.108,123.073,92.5,5.26,mb,,"Minahassa Peninsula, Sulawesi",209,2012-05-13T04:46:37.750000Z,LUWI,GE,BHZ,s,,,2012-05-13T04:46:22.460000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,15.29
gfz2012ixmz,2012-05-06T16:58:35.350000Z,-0.497,98.663,49.0,4.37,mb,,"Southern Sumatra, Indonesia",50,2012-05-06T16:59:31.270000Z,GSI,GE,BHN,s,,,2012-05-06T16:59:08.600000Z,GSI,GE,BHZ,p,,,22.67
gfz2012ilqg,2012-04-30T04:59:09.390000Z,-8.482,118.066,168.7,4.74,mb,,"Sumbawa Region, Indonesia",28,2012-04-30T04:59:52.080000Z,PLAI,GE,BHN,s,,,2012-04-30T04:59:33.210000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,18.87
gfz2012hidg,2012-04-14T01:29:16.190000Z,1.696,99.212,10.0,4.41,mb,,"Northern Sumatra, Indonesia",12,2012-04-14T01:30:06.880000Z,GSI,GE,BHZ,s,,,2012-04-14T01:29:45.110000Z,GSI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,21.77
gfz2012heuj,2012-04-12T05:34:59.770000Z,-7.475,129.192,89.4,4.51,mb,,Banda Sea,11,2012-04-12T05:36:00.340000Z,SAUI,GE,BHZ,s,,,,,,,,,,
gfz2012heuj,2012-04-12T05:34:59.770000Z,-7.475,129.192,89.4,4.51,mb,,Banda Sea,11,2012-04-12T05:37:18.490000Z,SOEI,GE,BHE,s,,,2012-04-12T05:36:17.860000Z,SOEI,GE,BHZ,p,,,60.63
gfz2012gitd,2012-03-31T03:58:19.470000Z,1.119,101.554,10.0,4.74,mb,,"Northern Sumatra, Indonesia",61,2012-03-31T03:58:49.660000Z,BKNI,GE,BHZ,s,,,2012-03-31T03:58:35.910000Z,BKNI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,13.75
gfz2012gezz,2012-03-29T02:52:37.090000Z,-5.896,130.195,33.4,4.9,mb,,Banda Sea,93,2012-03-29T02:53:16.160000Z,BNDI,GE,BHZ,s,,,2012-03-29T02:52:57.960000Z,BNDI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,18.2
gfz2012evwr,2012-03-09T21:27:10.070000Z,-9.17,112.959,71.3,4.52,mb,,"South of Java, Indonesia",60,2012-03-09T21:27:49.990000Z,JAGI,GE,BHZ,s,,,2012-03-09T21:27:32.160000Z,JAGI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,17.83
gfz2012emwu,2012-03-04T23:17:06.800000Z,-4.429,102.61,65.5,5.1,Mw,,"Southern Sumatra, Indonesia",272,2012-03-04T23:17:25.110000Z,MNAI,GE,BHZ,s,,,2012-03-04T23:17:16.310000Z,MNAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,8.8
gfz2012dgxi,2012-02-16T11:12:39.020000Z,-8.169,118.221,12.2,4.89,mb,,"Sumbawa Region, Indonesia",106,2012-02-16T11:13:05.740000Z,PLAI,GE,BHZ,s,,,2012-02-16T11:12:54.240000Z,PLAI,GE,BHZ,p,,,11.5
gfz2012dcye,2012-02-14T07:06:07.920000Z,-9.58,117.568,9.3,4.98,mb,,"Sumbawa Region, Indonesia",35,2012-02-14T07:06:33.920000Z,PLAI,GE,BHE,s,,,2012-02-14T07:06:22.860000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,11.06
gfz2012cnkn,2012-02-05T19:08:56.270000Z,-5.419,133.922,10.0,4.71,mb,,"Aru Islands Region, Indonesia",42,2012-02-05T19:10:18.710000Z,FAKI,GE,BHZ,s,,,2012-02-05T19:09:44.860000Z,FAKI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,33.85
gfz2012cipp,2012-02-03T04:01:50.590000Z,-8.86,111.43,63.8,4.71,mb,,"Java, Indonesia",86,2012-02-03T04:02:29.910000Z,UGM,GE,BHZ,s,,,2012-02-03T04:02:12.950000Z,UGM,GE,BHZ,p,,,16.96
gfz2012blmw,2012-01-21T12:31:51.650000Z,-0.62,127.38,128.3,4.55,mb,,"Halmahera, Indonesia",29,2012-01-21T12:32:38.820000Z,TNTI,GE,BHE,s,,,2012-01-21T12:32:18.210000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,20.61
gfz2012blmw,2012-01-21T12:31:51.650000Z,-0.62,127.38,128.3,4.55,mb,,"Halmahera, Indonesia",29,2012-01-21T12:32:50.480000Z,SANI,GE,BHN,s,,,2012-01-21T12:32:25.410000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/Trigger,,25.07
gfz2012azkx,2012-01-14T21:54:06.850000Z,-8.767,118.436,116.6,4.24,mb,,"Sumbawa Region, Indonesia",24,2012-01-14T21:54:40.280000Z,PLAI,GE,BHZ,s,,,2012-01-14T21:54:25.810000Z,PLAI,GE,BHZ,p,,,14.47
gfz2012awsq,2012-01-13T10:24:00.190000Z,1.62,126.706,84.2,4.71,mb,,Northern Molucca Sea,28,2012-01-13T10:25:33.670000Z,SANI,GE,BHZ,s,,,2012-01-13T10:24:57.630000Z,SANI,GE,BHZ,p,,,36.04
gfz2012atnm,2012-01-11T16:23:21.670000Z,-8.812,110.806,69.1,4.05,M,,"Java, Indonesia",35,2012-01-11T16:23:53.850000Z,UGM,GE,BHE,s,,,2012-01-11T16:23:39.700000Z,UGM,GE,BHZ,p,,,14.15
gfz2012atnm,2012-01-11T16:23:21.670000Z,-8.812,110.806,69.1,4.05,M,,"Java, Indonesia",35,2012-01-11T16:24:14.310000Z,SMRI,GE,BHE,s,,,2012-01-11T16:23:50.900000Z,SMRI,GE,BHZ,p,,,23.41
gfz2012atdb,2012-01-11T11:07:23.240000Z,4.62,126.992,88.9,4.73,mb,,"Talaud Islands, Indonesia",90,2012-01-11T11:09:04.390000Z,TNTI,GE,BHE,s,,,2012-01-11T11:08:19.260000Z,TNTI,GE,BHZ,p,,,45.13
gfz2012amyi,2012-01-08T01:55:34.510000Z,-7.17,130.599,71.5,4.93,mb,,"Tanimbar Islands Reg., Indonesia",27,2012-01-08T01:57:30.640000Z,FAKI,GE,BHN,s,,,2012-01-08T01:56:40.780000Z,FAKI,GE,BHZ,p,,,49.86
gfz2012amyi,2012-01-08T01:55:34.510000Z,-7.17,130.599,71.5,4.93,mb,,"Tanimbar Islands Reg., Indonesia",27,2012-01-08T01:58:27.250000Z,SOEI,GE,BHN,s,,,2012-01-08T01:57:13.480000Z,SOEI,GE,BHZ,p,,,73.77
