event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2016mexu,2016-06-22T10:59:59.290000Z,0.568,127.076,90.8,4.82,Mw,,"Halmahera, Indonesia",127,2016-06-22T11:00:22.520000Z,TNTI,GE,BHZ,s,,,2016-06-22T11:00:13.390000Z,TNTI,GE,BHZ,p,,,9.13
gfz2016mcqf,2016-06-21T04:53:17.200000Z,-6.39,130.379,139.9,5.13,Mw,,Banda Sea,134,2016-06-21T04:54:14.660000Z,SAUI,GE,BHZ,s,,,2016-06-21T04:53:52.010000Z,SAUI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,22.65
gfz2016mcqf,2016-06-21T04:53:17.200000Z,-6.39,130.379,139.9,5.13,Mw,,Banda Sea,134,2016-06-21T04:54:17.370000Z,BNDI,GE,BHZ,s,,,2016-06-21T04:53:51.960000Z,BNDI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,25.41
gfz2016gdco,2016-03-28T01:55:02.980000Z,-6.504,130.383,112.3,4.42,mb,,Banda Sea,26,2016-03-28T01:55:55.770000Z,SAUI,GE,BHZ,s,,,2016-03-28T01:55:35.810000Z,SAUI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,19.96
gfz2016dbtc,2016-02-13T15:23:21.100000Z,-7.596,108.733,124.6,4.4,mb,,"Java, Indonesia",30,2016-02-13T15:24:16.890000Z,UGM,GE,BHZ,s,,,2016-02-13T15:23:53.010000Z,UGM,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,23.88
