event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2010yvmm,2010-12-20T12:29:03.120000Z,0.392,99.803,151.7,4.35,mb,,"Northern Sumatra, Indonesia",26,2010-12-20T12:30:13.870000Z,GSI,GE,BHZ,s,,,2010-12-20T12:29:44.980000Z,GSI,GE,BHZ,p,,,28.89
gfz2010wlnb,2010-11-16T13:48:32.050000Z,3.575,97.06,82.3,4.37,mb,,"Northern Sumatra, Indonesia",39,2010-11-16T13:49:21.400000Z,LHMI,GE,BHN,s,,,2010-11-16T13:49:00.370000Z,LHMI,GE,BHZ,p,,,21.03
gfz2010wlnb,2010-11-16T13:48:32.050000Z,3.575,97.06,82.3,4.37,mb,,"Northern Sumatra, Indonesia",39,2010-11-16T13:49:37.350000Z,GSI,GE,BHE,s,,,2010-11-16T13:49:08.730000Z,GSI,GE,BHZ,p,,,28.62
gfz2010veze,2010-10-29T18:10:29.520000Z,-4.739,101.928,10.7,4.46,mb,,"Southern Sumatra, Indonesia",30,2010-10-29T18:11:04.870000Z,MNAI,GE,BHN,s,,,2010-10-29T18:10:49.880000Z,MNAI,GE,BHZ,p,,,14.99
gfz2010uxzk,2010-10-25T22:16:51.240000Z,-4.519,102.56,56.8,4.71,mb,,"Southern Sumatra, Indonesia",75,2010-10-25T22:17:10.620000Z,MNAI,GE,BHZ,s,,,2010-10-25T22:17:02.080000Z,MNAI,GE,BHZ,p,,,8.54
gfz2010uxfg,2010-10-25T12:05:30.340000Z,-0.132,125.238,58.3,5.78,Mw(mB),,Southern Molucca Sea,257,2010-10-25T12:06:34.000000Z,TNTI,GE,BHZ,s,,,2010-10-25T12:06:06.110000Z,TNTI,GE,BHZ,p,,,27.89
gfz2010teou,2010-10-01T01:24:28.820000Z,-10.95,113.664,40.6,5.49,mb,,"South of Java, Indonesia",236,2010-10-01T01:25:37.660000Z,JAGI,GE,BHN,s,,,2010-10-01T01:25:06.620000Z,JAGI,GE,BHZ,p,,,31.04
gfz2010teou,2010-10-01T01:24:28.820000Z,-10.95,113.664,40.6,5.49,mb,,"South of Java, Indonesia",236,2010-10-01T01:26:19.520000Z,UGM,GE,BHN,s,,,2010-10-01T01:25:31.410000Z,UGM,GE,BHZ,p,,,48.11
gfz2010tcda,2010-09-29T17:11:24.930000Z,-4.981,133.756,19.3,7.18,Mw(mB),,"Irian Jaya Region, Indonesia",243,2010-09-29T17:13:11.280000Z,SAUI,GE,BHZ,s,,,2010-09-29T17:12:26.800000Z,SAUI,GE,BHZ,p,,,44.48
gfz2010swgu,2010-09-26T12:12:38.610000Z,-5.292,133.894,10.0,6.11,M,,"Aru Islands Region, Indonesia",243,2010-09-26T12:13:57.570000Z,FAKI,GE,BHZ,s,,,2010-09-26T12:13:24.990000Z,FAKI,GE,BHZ,p,,,32.58
gfz2010onoq,2010-07-26T18:51:38.850000Z,-8.537,121.613,163.0,4.59,mb,,"Flores Region, Indonesia",60,2010-07-26T18:52:22.170000Z,MMRI,GE,BHZ,s,,,2010-07-26T18:52:03.110000Z,MMRI,GE,BHZ,p,,,19.06
gfz2010occd,2010-07-20T11:56:28.470000Z,-0.108,122.921,146.8,4.7,mb,,"Minahassa Peninsula, Sulawesi",110,2010-07-20T11:57:10.910000Z,LUWI,GE,BH2,s,,,2010-07-20T11:56:53.000000Z,LUWI,GE,BHZ,p,,,17.91
gfz2010occd,2010-07-20T11:56:28.470000Z,-0.108,122.921,146.8,4.7,mb,,"Minahassa Peninsula, Sulawesi",110,2010-07-20T11:58:03.390000Z,SANI,GE,BH1,s,,,2010-07-20T11:57:23.150000Z,SANI,GE,BHZ,p,,,40.24
gfz2010occd,2010-07-20T11:56:28.470000Z,-0.108,122.921,146.8,4.7,mb,,"Minahassa Peninsula, Sulawesi",110,2010-07-20T11:58:26.200000Z,TNTI,GE,BH1,s,,,2010-07-20T11:57:34.920000Z,TNTI,GE,BHZ,p,,,51.28
gfz2010ncnk,2010-07-06T11:53:02.700000Z,2.339,99.108,142.8,4.44,mb,,"Northern Sumatra, Indonesia",67,2010-07-06T11:54:40.450000Z,LHMI,GE,BH2,s,,,2010-07-06T11:53:57.890000Z,LHMI,GE,BHZ,p,,,42.56
gfz2010ncnk,2010-07-06T11:53:02.700000Z,2.339,99.108,142.8,4.44,mb,,"Northern Sumatra, Indonesia",67,2010-07-06T11:54:00.770000Z,GSI,GE,BH1,s,,,2010-07-06T11:53:36.250000Z,GSI,GE,BHZ,p,,,24.52
