event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2024krts,2024-06-01T00:37:52.720000Z,0.081,123.497,119.1,4.67,mb,,"Minahassa Peninsula, Sulawesi",51,2024-06-01T00:38:36.280000Z,LUWI,GE,BHN,s,,,2024-06-01T00:38:17.910000Z,LUWI,GE,BHZ,p,,,18.37
gfz2024krts,2024-06-01T00:37:52.720000Z,0.081,123.497,119.1,4.67,mb,,"Minahassa Peninsula, Sulawesi",51,2024-06-01T00:39:12.370000Z,TOLI2,GE,BHE,s,,,2024-06-01T00:38:37.680000Z,TOLI2,GE,BHZ,p,,,34.69
gfz2024krts,2024-06-01T00:37:52.720000Z,0.081,123.497,119.1,4.67,mb,,"Minahassa Peninsula, Sulawesi",51,2024-06-01T00:39:18.730000Z,SANI,GE,BHN,s,,,,,,,,,,
gfz2024kkci,2024-05-27T19:54:01.230000Z,-10.255,111.501,27.4,4.98,Mw,,"South of Java, Indonesia",130,2024-05-27T19:55:24.900000Z,JAGI,GE,BHZ,s,,,2024-05-27T19:54:49.500000Z,JAGI,GE,BHZ,p,,,35.4
gfz2024kkci,2024-05-27T19:54:01.230000Z,-10.255,111.501,27.4,4.98,Mw,,"South of Java, Indonesia",130,2024-05-27T19:56:01.230000Z,BBJI,GE,BHZ,s,,,2024-05-27T19:55:10.070000Z,BBJI,GE,BHZ,p,,,51.16
gfz2024jygv,2024-05-21T08:31:57.930000Z,-2.148,138.131,20.2,5.44,mb,,"West Papua, Indonesia",123,2024-05-21T08:35:35.110000Z,BNDI,GE,BHE,s,,,,,,,,,,
gfz2024jllp,2024-05-14T08:11:11.530000Z,-8.416,116.045,19.2,5.19,Mw,,"Sumbawa Region, Indonesia",98,2024-05-14T08:12:05.070000Z,PLAI,GE,BHN,s,,,2024-05-14T08:11:41.650000Z,PLAI,GE,BHZ,p,,,23.42
gfz2024jllp,2024-05-14T08:11:11.530000Z,-8.416,116.045,19.2,5.19,Mw,,"Sumbawa Region, Indonesia",98,2024-05-14T08:12:04.230000Z,JAGI,GE,BHN,s,,,2024-05-14T08:11:41.110000Z,JAGI,GE,BHZ,p,,,23.12
gfz2024ingp,2024-05-01T02:23:36.960000Z,-7.31,129.392,130.4,4.79,mb,,Banda Sea,58,2024-05-01T02:25:45.220000Z,FAKI,GE,BHE,s,,,,,,,,,,
gfz2024ingp,2024-05-01T02:23:36.960000Z,-7.31,129.392,130.4,4.79,mb,,Banda Sea,58,2024-05-01T02:28:22.590000Z,PLAI,GE,BHE,s,,,2024-05-01T02:26:17.750000Z,PLAI,GE,BHZ,p,,,124.84
gfz2024imhv,2024-04-30T13:52:41.940000Z,2.282,126.747,26.6,5.73,mb,,Northern Molucca Sea,242,2024-04-30T13:54:37.890000Z,SANI,GE,BHE,s,,,2024-04-30T13:53:48.630000Z,SANI,GE,BHZ,p,,,49.26
gfz2024imhv,2024-04-30T13:52:41.940000Z,2.282,126.747,26.6,5.73,mb,,Northern Molucca Sea,242,2024-04-30T13:55:18.490000Z,TOLI2,GE,BHN,s,,,,,,,,,,
gfz2024imhv,2024-04-30T13:52:41.940000Z,2.282,126.747,26.6,5.73,mb,,Northern Molucca Sea,242,2024-04-30T14:01:26.390000Z,BBJI,GE,BHN,s,,,2024-04-30T13:57:25.580000Z,BBJI,GE,BHZ,p,,,240.81
gfz2024hgro,2024-04-13T06:26:36.410000Z,2.383,127.046,44.4,5.34,mb,,Northern Molucca Sea,151,2024-04-13T06:32:53.700000Z,PLAI,GE,BHN,s,,,,,,,,,,
gfz2024hgro,2024-04-13T06:26:36.410000Z,2.383,127.046,44.4,5.34,mb,,Northern Molucca Sea,151,2024-04-13T06:33:46.940000Z,JAGI,GE,BHN,s,,,,,,,,,,
gfz2024hgro,2024-04-13T06:26:36.410000Z,2.383,127.046,44.4,5.34,mb,,Northern Molucca Sea,151,2024-04-13T06:28:29.850000Z,SANI,GE,BHE,s,,,2024-04-13T06:27:39.980000Z,SANI,GE,BHZ,p,,,49.87
gfz2024hdte,2024-04-11T15:50:24.770000Z,-2.923,129.373,27.9,4.99,mb,,"Seram, Indonesia",65,2024-04-11T15:51:42.140000Z,FAKI,GE,BHE,s,,,2024-04-11T15:51:07.630000Z,FAKI,GE,BHZ,p,,,34.51
gfz2024hdte,2024-04-11T15:50:24.770000Z,-2.923,129.373,27.9,4.99,mb,,"Seram, Indonesia",65,2024-04-11T15:53:18.160000Z,LUWI,GE,BHE,s,,,2024-04-11T15:52:03.420000Z,LUWI,GE,BHZ,p,,,74.74
gfz2024fyvc,2024-03-25T17:36:35.780000Z,0.913,125.42,88.1,4.84,mb,,Northern Molucca Sea,83,2024-03-25T17:37:31.810000Z,TNTI,GE,BHN,s,,,2024-03-25T17:37:07.660000Z,TNTI,GE,BHZ,p,,,24.15
gfz2024fyvc,2024-03-25T17:36:35.780000Z,0.913,125.42,88.1,4.84,mb,,Northern Molucca Sea,83,2024-03-25T17:38:02.750000Z,LUWI,GE,BHN,s,,,2024-03-25T17:37:26.010000Z,LUWI,GE,BHZ,p,,,36.74
gfz2024fmvg,2024-03-19T04:03:09.300000Z,1.264,126.532,70.2,4.97,mb,,Northern Molucca Sea,117,2024-03-19T04:03:41.470000Z,TNTI,GE,BHN,s,,,2024-03-19T04:03:27.440000Z,TNTI,GE,BHZ,p,,,14.03
