event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,event_type,event_region,arrivals_count,s_pick_time,s_pick_station,s_pick_network,s_pick_channel,s_pick_phase,s_pick_method,s_pick_time_uncertainty,p_pick_time,p_pick_station,p_pick_network,p_pick_channel,p_pick_phase,p_pick_method,p_pick_time_uncertainty,p_s_interval_sec
gfz2019vhta,2019-10-31T01:56:13.900000Z,-8.068,108.268,59.8,4.67,mb,,"Java, Indonesia",44,2019-10-31T01:56:41.600000Z,BBJI,GE,BHZ,s,,,2019-10-31T01:56:29.860000Z,BBJI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,11.74
gfz2019velu,2019-10-29T06:45:31.460000Z,-0.082,123.177,154.5,4.91,mb,,"Minahassa Peninsula, Sulawesi",52,2019-10-29T06:46:14.290000Z,LUWI,GE,BHZ,s,,,2019-10-29T06:45:56.710000Z,LUWI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,17.58
gfz2019usec,2019-10-22T13:13:50.030000Z,-9.519,118.236,76.8,4.62,mb,,"Sumbawa Region, Indonesia",30,2019-10-22T13:14:19.220000Z,PLAI,GE,BHN,s,,,2019-10-22T13:14:07.010000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,12.21
gfz2019sgac,2019-09-17T10:30:06.700000Z,0.349,125.455,59.2,4.8,mb,,Northern Molucca Sea,36,2019-09-17T10:31:02.140000Z,TNTI,GE,BHN,s,,,2019-09-17T10:30:39.060000Z,TNTI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,23.08
gfz2019sgac,2019-09-17T10:30:06.700000Z,0.349,125.455,59.2,4.8,mb,,Northern Molucca Sea,36,2019-09-17T10:31:12.100000Z,SANI,GE,BHN,s,,,2019-09-17T10:30:44.460000Z,SANI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,27.64
gfz2019qkjz,2019-08-22T08:58:44.720000Z,-7.942,117.18,27.3,4.82,mb,,Bali Sea,35,2019-08-22T08:59:18.970000Z,PLAI,GE,BHE,s,,,2019-08-22T08:59:04.010000Z,PLAI,GE,BHZ,p,smi:org.gfz-potsdam.de/geofon/AIC,,14.96
gfz2019osho,2019-07-29T05:46:37.140000Z,-2.84,100.099,27.6,5.05,mb,,"Southern Sumatra, Indonesia",47,2019-07-29T05:48:02.320000Z,MNAI,GE,BHE,s,,,,,,,,,,
