filename,network,station,channel,trace_id,start_time,end_time,duration,sampling_rate,samples
GE.UGM.SL.gfz2015vcni.mseed,GE,UGM,SLZ,GE.UGM..SLZ,2015-10-28T05:14:59.408393,2015-10-28T05:20:00.228393,300.82,100.0,30083
GE.LHMI.BH.gfz2012uhbt.mseed,GE,LHMI,BHE,GE.LHMI..BHE,2012-10-15T11:34:00.319538,2012-10-15T11:39:01.169538,300.85,100.0,30086
GE.LHMI.BH.gfz2012uhbt.mseed,GE,LHMI,BHN,GE.LHMI..BHN,2012-10-15T11:34:00.319538,2012-10-15T11:39:01.169538,300.85,100.0,30086
GE.LHMI.BH.gfz2012uhbt.mseed,GE,LHMI,BHZ,GE.LHMI..BHZ,2012-10-15T11:34:00.319538,2012-10-15T11:39:01.169538,300.85,100.0,30086
GE.UGM.BH.gfz2016dbtc.mseed,GE,UGM,BHE,GE.UGM..BHE,2016-02-13T15:23:23.019538,2016-02-13T15:28:23.809538,300.79,100.0,30080
GE.UGM.BH.gfz2016dbtc.mseed,GE,UGM,BHN,GE.UGM..BHN,2016-02-13T15:23:23.019538,2016-02-13T15:28:23.809538,300.79,100.0,30080
GE.UGM.BH.gfz2016dbtc.mseed,GE,UGM,BHZ,GE.UGM..BHZ,2016-02-13T15:23:23.019538,2016-02-13T15:28:23.809538,300.79,100.0,30080
GE.MNAI.BH.gfz2010abkp.mseed,GE,MNAI,BHE,GE.MNAI..BHE,2010-01-01T18:30:03.319538,2010-01-01T18:35:04.109538,300.79,100.0,30080
GE.MNAI.BH.gfz2010abkp.mseed,GE,MNAI,BHN,GE.MNAI..BHN,2010-01-01T18:30:03.319538,2010-01-01T18:35:04.109538,300.79,100.0,30080
GE.MNAI.BH.gfz2010abkp.mseed,GE,MNAI,BHZ,GE.MNAI..BHZ,2010-01-01T18:30:03.319536,2010-01-01T18:35:04.109536,300.79,100.0,30080
GE.BNDI.BL.gfz2024urkq.mseed,GE,BNDI,BLE,GE.BNDI..BLE,2024-10-21T03:24:51.569538,2024-10-21T03:29:52.359538,300.79,100.0,30080
GE.BNDI.BL.gfz2024urkq.mseed,GE,BNDI,BLN,GE.BNDI..BLN,2024-10-21T03:24:51.569539,2024-10-21T03:29:52.359539,300.79,100.0,30080
GE.BNDI.BL.gfz2024urkq.mseed,GE,BNDI,BLZ,GE.BNDI..BLZ,2024-10-21T03:24:51.569538,2024-10-21T03:29:52.359538,300.79,100.0,30080
GE.GSI.BH.gfz2010ncnk.mseed,GE,GSI,BHE,GE.GSI..BHE,2010-07-06T11:53:06.269538,2010-07-06T11:58:07.059538,300.79,100.0,30080
GE.GSI.BH.gfz2010ncnk.mseed,GE,GSI,BHN,GE.GSI..BHN,2010-07-06T11:53:06.269539,2010-07-06T11:58:07.059539,300.79,100.0,30080
GE.GSI.BH.gfz2010ncnk.mseed,GE,GSI,BHZ,GE.GSI..BHZ,2010-07-06T11:53:06.269538,2010-07-06T11:58:07.059538,300.79,100.0,30080
GE.LUWI.BH.gfz2012jjji.mseed,GE,LUWI,BHE,GE.LUWI..BHE,2012-05-13T04:45:52.469538,2012-05-13T04:50:53.269538,300.8,100.0,30081
GE.LUWI.BH.gfz2012jjji.mseed,GE,LUWI,BHN,GE.LUWI..BHN,2012-05-13T04:45:52.469538,2012-05-13T04:50:53.269538,300.8,100.0,30081
GE.LUWI.BH.gfz2012jjji.mseed,GE,LUWI,BHZ,GE.LUWI..BHZ,2012-05-13T04:45:52.469538,2012-05-13T04:50:53.269538,300.8,100.0,30081
