epoch,train_loss,val_loss
1,1.336488,1.1358346
2,1.304613,1.129206
3,1.2756492,1.1224253
4,1.2492151,1.1152853
5,1.2246473,1.108286
6,1.2016214,1.1015126
7,1.1798779,1.0950663
8,1.1585088,1.0889225
9,1.1393727,1.0829982
10,1.1190153,1.0772928
11,1.0995731,1.0717012
12,1.080661,1.0662063
13,1.0617445,1.0607525
14,1.0427485,1.0553111
15,1.0239708,1.0498708
16,1.0050553,1.0444162
17,0.986169,1.0389923
18,0.9676506,1.0335397
19,0.9494283,1.0281192
20,0.9318867,1.0226973
21,0.91395044,1.0172907
22,0.8966594,1.0118761
23,0.8800446,1.0064027
24,0.86303085,1.0009326
25,0.8467742,0.9954591
26,0.830457,0.98994046
27,0.81456757,0.9844213
28,0.79849714,0.9788093
29,0.78295153,0.9732087
30,0.7675459,0.96761626
31,0.7525428,0.9618902
32,0.7380392,0.95609945
33,0.7234434,0.9501425
34,0.70887136,0.944058
35,0.69507325,0.93779415
36,0.6807618,0.93147045
37,0.66674376,0.9252157
38,0.65308166,0.919144
39,0.639617,0.91326237
40,0.6265612,0.9075269
41,0.61348605,0.90192366
42,0.60115665,0.8964685
43,0.5891461,0.89118546
44,0.57736,0.8860536
45,0.565854,0.8810429
46,0.55465245,0.87591535
47,0.5426605,0.869888
48,0.5275517,0.8606146
49,0.5141034,0.8521598
50,0.5022147,0.84229463
51,0.49072075,0.8319262
52,0.4795437,0.8207968
53,0.46877697,0.8090283
54,0.45699075,0.7928248
55,0.44571847,0.78035295
56,0.4376233,0.7695867
57,0.43153536,0.76164395
58,0.42629912,0.7552754
59,0.42169425,0.7489519
60,0.4178326,0.7433538
61,0.41391826,0.739024
62,0.41096118,0.73609334
63,0.4084171,0.734149
64,0.40573567,0.7336958
65,0.40347308,0.7348429
66,0.4017864,0.7368013
67,0.39986178,0.7391953
68,0.3981051,0.73927784
69,0.39654803,0.73739177
70,0.39533058,0.73427564
71,0.39403164,0.73038733
72,0.39299193,0.7266919
73,0.3918852,0.72264826
74,0.3909227,0.71832645
75,0.38997144,0.71392393
76,0.38906044,0.71025646
77,0.388433,0.70636195
78,0.38766116,0.7022901
79,0.38689682,0.6986194
80,0.38630277,0.6946789
81,0.38566703,0.69087213
82,0.38514054,0.68755466
83,0.38465345,0.684125
84,0.38420075,0.6807318
85,0.38370082,0.6773721
86,0.3832956,0.67444366
87,0.38287652,0.67109793
88,0.38257575,0.6678871
89,0.38216138,0.6650422
90,0.3818412,0.66207397
91,0.38152263,0.65944034
92,0.38122758,0.65657574
93,0.38088495,0.6535935
94,0.38059467,0.65118396
95,0.38047108,0.6485712
96,0.38013092,0.6459838
97,0.3799031,0.6436043
98,0.3797144,0.64110464
99,0.3794667,0.638309
100,0.37927043,0.6360172
101,0.3791053,0.63376844
102,0.37887684,0.63144535
103,0.37873542,0.62940186
104,0.37851924,0.6270346
105,0.37833825,0.62469923
106,0.37820336,0.62250787
107,0.37807494,0.62019
108,0.37788582,0.618159
109,0.3777358,0.6164486
110,0.37766552,0.61353385
111,0.37748554,0.6118825
112,0.3773053,0.6099976
113,0.37719128,0.6076304
114,0.37713423,0.6060714
115,0.37702546,0.6039361
116,0.3768759,0.6016092
117,0.37680635,0.60002536
118,0.3767054,0.59788525
119,0.37658095,0.59593457
120,0.376473,0.5939744
121,0.37637466,0.592
122,0.37631756,0.5900946
123,0.37617502,0.5883158
124,0.37612045,0.5864559
125,0.37603647,0.584762
126,0.37591758,0.5829025
127,0.37588048,0.580825
128,0.37577352,0.579175
129,0.3757113,0.5778584
130,0.37567523,0.57574785
131,0.3755432,0.5739383
132,0.37552163,0.5721267
133,0.37544942,0.57011896
134,0.37538922,0.56862986
135,0.37524995,0.5674749
136,0.3753102,0.5653362
137,0.3752377,0.5633083
138,0.3751571,0.56192863
139,0.3750755,0.5603689
140,0.3750424,0.5586759
141,0.37492478,0.5568117
142,0.37492537,0.5551266
143,0.3748941,0.55373985
144,0.3748281,0.55222946
145,0.3747629,0.5503465
146,0.37475854,0.54860884
147,0.37466836,0.5472751
148,0.37467203,0.5453339
149,0.37458327,0.54430723
150,0.37453425,0.5423764
151,0.37453106,0.540975
152,0.37449375,0.5395108
153,0.37446496,0.5378035
154,0.3743621,0.536335
155,0.37435898,0.5346476
156,0.37432873,0.53301656
157,0.37424934,0.53182024
158,0.37423927,0.52995735
159,0.37422207,0.52862144
160,0.3741644,0.52700084
161,0.37414247,0.52551275
162,0.37415582,0.5237597
163,0.37411317,0.5227095
164,0.37399378,0.52079207
165,0.37407696,0.52001053
166,0.37400135,0.5179766
167,0.37397134,0.51663077
168,0.3739334,0.51572376
169,0.3739327,0.51414764
170,0.37389892,0.5121651
171,0.3738613,0.5109154
172,0.3738741,0.509598
173,0.37381577,0.5082523
174,0.37381676,0.5070459
175,0.37379438,0.50539714
176,0.3737149,0.50399286
177,0.37371102,0.5027587
178,0.37376896,0.5013789
179,0.37367707,0.49934945
180,0.3737204,0.49825516
181,0.37369275,0.4969996
182,0.37364677,0.49543113
183,0.37363148,0.49417537
184,0.37365386,0.49286145
185,0.37361667,0.49140385
186,0.37359726,0.49008068
187,0.3736262,0.4882788
188,0.37359834,0.48742524
189,0.37361008,0.4861605
190,0.37351435,0.48446712
191,0.37349057,0.48365363
192,0.37354165,0.48179096
193,0.37353736,0.48081142
194,0.37348512,0.4793302
195,0.373475,0.47809908
196,0.3734807,0.47676745
197,0.37347504,0.4753856
198,0.37342235,0.47398624
199,0.3734041,0.47304818
200,0.3733754,0.4715146
